n	d	lo	hi
160	-0.25	-0.469793688752262	-0.02982855213489
320	-0.25	-0.405457124940752	-0.0943534757855698
640	-0.25	-0.359968040641345	-0.139964931450199
1280	-0.25	-0.327780191255092	-0.172201656022919
2560	-0.25	-0.304987208826894	-0.194994815988722
5120	-0.25	-0.28886685219095	-0.211106957110821
10	-0.2	-1.07618860777269	0.681663866043314
20	-0.2	-0.82012007924452	0.422717711229524
40	-0.2	-0.63874150306134	0.240018074245716
80	-0.2	-0.51037341138733	0.110994446458885
160	-0.2	-0.419509916045218	0.0198203238390797
320	-0.2	-0.35525033137195	-0.0445776382400975
640	-0.2	-0.309828671562669	-0.0901150262818832
1280	-0.2	-0.277657735508376	-0.12229011309631
2560	-0.2	-0.254906480951699	-0.145072000625548
5120	-0.2	-0.23883716096275	-0.161158945165144
10	-0.15	-1.02579065693647	0.7299356967564
20	-0.15	-0.769732559507199	0.471686259128033
40	-0.15	-0.588399577802949	0.28939648767412
80	-0.15	-0.460111649946045	0.160586075634192
160	-0.15	-0.369327969185351	0.0695706512156601
320	-0.15	-0.305110912444689	0.00522764083992764
640	-0.15	-0.259708361523203	-0.0402540139313863
1280	-0.15	-0.227556632017712	-0.0723987027805977
2560	-0.15	-0.204825365621359	-0.0951157907887712
5120	-0.15	-0.188783545626435	-0.111226979087537
10	-0.1	-0.975728328132389	0.77849982288426
20	-0.1	-0.719544339605411	0.520848774473236
40	-0.1	-0.538222145675828	0.33886150546058
80	-0.1	-0.409935246883186	0.210257969033157
160	-0.1	-0.319174963355734	0.119335432589323
320	-0.1	-0.255004320183858	0.0550753866576516
640	-0.1	-0.209601429303399	0.00967671519588205
1280	-0.1	-0.177529981520667	-0.0224911042135112
2560	-0.1	-0.154792000341031	-0.0451651616912003
5120	-0.1	-0.138742006058755	-0.06126203744929
10	-0.05	-0.92596799510001	0.827362301503471
20	-0.05	-0.669581569905595	0.570237706931476
40	-0.05	-0.488149236245803	0.38851461316405
80	-0.05	-0.359850245640992	0.260029332654102
160	-0.05	-0.269111126766501	0.169197803392634
320	-0.05	-0.204968538065094	0.104996854284401
640	-0.05	-0.15959877148681	0.0595947558950611
1280	-0.05	-0.127491919371163	0.0275077859895963
2560	-0.05	-0.104803594133236	0.00480201880629999
5120	-0.05	-0.0887477449753596	-0.0112613751053396
10	0	-0.876524144860774	0.876524144860774
20	0	-0.619815761514706	0.619815761514707
40	0	-0.438261216863417	0.438261216863417
80	0	-0.309900667832386	0.309900667832386
160	0	-0.219131870372533	0.219131870372533
320	0	-0.154950747611443	0.154950747611443
640	0	-0.109564484289936	0.109564484289936
1280	0	-0.0774473132037489	0.0774473132037489
2560	0	-0.054791430892951	0.0547914308929511
5120	0	-0.0387199694899383	0.0387199694899383
10	0.05	-0.827362301503471	0.92596799510001
20	0.05	-0.570237706931476	0.669581569905595
40	0.05	-0.38851461316405	0.488149236245803
80	0.05	-0.260029332654102	0.359850245640992
160	0.05	-0.169197803392634	0.269111126766501
320	0.05	-0.104996854284401	0.204968538065094
640	0.05	-0.0595947558950611	0.15959877148681
1280	0.05	-0.0275077859895963	0.127491919371163
2560	0.05	-0.00480201880629999	0.104803594133236
5120	0.05	0.0112613751053396	0.0887477449753596
10	0.1	-0.77849982288426	0.975728328132389
20	0.1	-0.520848774473236	0.719544339605411
40	0.1	-0.33886150546058	0.538222145675827
80	0.1	-0.210257969033157	0.409935246883186
160	0.1	-0.119335432589323	0.319174963355734
320	0.1	-0.0550753866576516	0.255004320183858
640	0.1	-0.00967671519588205	0.209601429303399
1280	0.1	0.0224911042135112	0.177529981520667
2560	0.1	0.0451651616912003	0.154792000341031
5120	0.1	0.06126203744929	0.138742006058755
10	0.15	-0.7299356967564	1.02579065693647
20	0.15	-0.471686259128033	0.769732559507199
40	0.15	-0.28939648767412	0.588399577802949
80	0.15	-0.160586075634192	0.460111649946045
160	0.15	-0.0695706512156601	0.369327969185351
320	0.15	-0.00522764083992764	0.305110912444689
640	0.15	0.0402540139313863	0.259708361523203
1280	0.15	0.0723987027805977	0.227556632017712
2560	0.15	0.0951157907887712	0.204825365621359
5120	0.15	0.111226979087537	0.188783545626435
10	0.2	-0.681663866043314	1.07618860777269
20	0.2	-0.422717711229524	0.820120079244519
40	0.2	-0.240018074245716	0.63874150306134
80	0.2	-0.110994446458885	0.51037341138733
160	0.2	-0.0198203238390797	0.419509916045218
320	0.2	0.0445776382400975	0.35525033137195
640	0.2	0.0901150262818832	0.309828671562669
1280	0.2	0.12229011309631	0.277657735508376
2560	0.2	0.145072000625548	0.254906480951699
5120	0.2	0.161158945165144	0.23883716096275
10	0.25	-0.633686596739181	1.12684673292391
20	0.25	-0.373923487777057	0.870700993074528
40	0.25	-0.190774913107738	0.689215518890246
80	0.25	-0.0615004171794431	0.56073065774731
160	0.25	0.02982855213489	0.469793688752262
320	0.25	0.0943534757855698	0.405457124940752
640	0.25	0.139964931450199	0.359968040641345
1280	0.25	0.172201656022919	0.327780191255092
2560	0.25	0.194994815988722	0.304987208826894
5120	0.25	0.211106957110821	0.28886685219095
10	0.3	-0.585980386436802	1.17781285860905
20	0.3	-0.325378597234668	0.921486461692805
40	0.3	-0.14172357974788	0.739823070993442
80	0.3	-0.0121492432973566	0.6112021839807
160	0.3	0.0793992396775036	0.52013394608503
320	0.3	0.144061722748244	0.455706158088741
640	0.3	0.189789326715748	0.410125829903503
1280	0.3	0.222042981181299	0.377877746347985
2560	0.3	0.244899702004813	0.3550774193726
5120	0.3	0.261034278230351	0.338967718438278
10	0.35	-0.538588274391934	1.2291096297112
20	0.35	-0.27700847072673	0.972484995128933
40	0.35	-0.092784046949147	0.790575422352732
80	0.35	0.0371639864257135	0.661744366392912
160	0.35	0.128902716576457	0.570530673594018
320	0.35	0.193703391614456	0.506011925884107
640	0.35	0.239516008027514	0.460363308156059
1280	0.35	0.271892991215205	0.428043116512293
2560	0.35	0.294792803924917	0.405197072267654
5120	0.35	0.310959304466494	0.389029827658019
10	0.4	-0.491498933397926	1.2806734833983
20	0.4	-0.228823598466234	1.02365586837056
40	0.4	-0.0439742743061366	0.841435649221292
80	0.4	0.0863595385851652	0.712420595750832
160	0.4	0.178376613826094	0.621009324944519
320	0.4	0.243353847437549	0.556330010973453
640	0.4	0.28927577591558	0.510597183602492
1280	0.4	0.321704146378854	0.478232550569702
2560	0.4	0.344648015370884	0.455314055623841
5120	0.4	0.360858385950725	0.439137263534292
10	0.45	-0.444635906455678	1.33255104137295
20	0.45	-0.180828270457227	1.07506620560705
40	0.45	0.00469029568247387	0.89246471217304
80	0.45	0.1354484607293	0.763134366770646
160	0.45	0.227768126096527	0.671559787779395
320	0.45	0.292931023968631	0.60673287961499
640	0.45	0.338966566429946	0.560858817221728
1280	0.45	0.371487370332036	0.528426041551598
2560	0.45	0.39449453019944	0.505449186525616
5120	0.45	0.410769055304759	0.489205545503803
10	0.5	-0.398066414169722	1.38473754691748
20	0.5	-0.133017275729374	1.12663385408644
40	0.5	0.0532396394216304	0.943628231256947
80	0.5	0.184477591621337	0.813987384704884
160	0.5	0.277041882019955	0.722138883460047
320	0.5	0.342454715743656	0.657161734092139
640	0.5	0.388664456603029	0.611165203456149
1280	0.5	0.421251778397556	0.578632317740515
2560	0.5	0.444341963936905	0.555604260059748
5120	0.5	0.460650568004384	0.53932553026783
10	0.55	-0.351772901259589	1.4371990308227
20	0.55	-0.08541683482524	1.17845443963308
40	0.55	0.101672489667294	0.994924938048327
80	0.55	0.233401884525197	0.864931070890359
160	0.55	0.326318101008242	0.772840153205909
320	0.55	0.391933581993993	0.707673756846895
640	0.55	0.438267308527755	0.661516132170264
1280	0.55	0.471024738462538	0.628873146449429
2560	0.55	0.494158986520992	0.605769414506933
5120	0.55	0.510507889129704	0.589448128995355
10	0.6	-0.305772479011453	1.48997272563245
20	0.6	-0.0379849711669389	1.23044654871381
40	0.6	0.149931738587411	1.04638904665648
80	0.6	0.282222489965675	0.915943741025507
160	0.6	0.375532675954887	0.823580746309791
320	0.6	0.441374294107477	0.758175826297711
640	0.6	0.487885439327997	0.711906418547089
1280	0.6	0.520746531564491	0.679133141180967
2560	0.6	0.543966713182688	0.655982382597333
5120	0.6	0.560394039169096	0.639586827011771
10	0.65	-0.259987344793731	1.5430536973655
20	0.65	0.00928194896249653	1.28263103052691
40	0.65	0.198105584536588	1.09795917834923
80	0.65	0.330958680430975	0.967087753097311
160	0.65	0.424653544045203	0.874374042448853
320	0.65	0.490750710403038	0.808765762553682
640	0.65	0.537448853125891	0.762298958974557
1280	0.65	0.570458610708192	0.729435180561565
2560	0.65	0.593741510811428	0.706180538791604
5120	0.65	0.610221099495318	0.689734893493997
10	0.7	-0.214510841111611	1.5963921083293
20	0.7	0.0563590114959811	1.3350137168831
40	0.7	0.246108748451668	1.14968044760704
80	0.7	0.379603680297057	1.01828977041065
160	0.7	0.473711305118439	0.92524525263977
320	0.7	0.540103237337941	0.859388883164709
640	0.7	0.586996527129269	0.812757272133525
1280	0.7	0.620138229864713	0.77973879903295
2560	0.7	0.643527928762449	0.756409593715089
5120	0.7	0.660084819923491	0.739889590215212
10	0.75	-0.169262219192155	1.65000739392415
20	0.75	0.10323255043947	1.38758821148586
40	0.75	0.294011608610693	1.20147274845283
80	0.75	0.428187155578236	1.06960712777789
160	0.75	0.522732271252811	0.976167163995981
320	0.75	0.589402400270159	0.910055467860398
640	0.75	0.636494048733145	0.86319158948866
1280	0.75	0.669775661838158	0.830059297720655
2560	0.75	0.693283250411652	0.806624684878058
5120	0.75	0.709925771193948	0.790057508093141
10	0.8	-0.124275190512779	1.70395856205745
20	0.8	0.149947969541584	1.44034275783336
40	0.8	0.341781812765991	1.25342812381824
80	0.8	0.476636726754998	1.12101162813307
160	0.8	0.571642435089735	1.02716568174523
320	0.8	0.638692294036267	0.960754345504806
640	0.8	0.685965068304129	0.913719133909269
1280	0.8	0.719413099318734	0.880421878894867
2560	0.8	0.743052342788694	0.856895941682163
5120	0.8	0.759734783253825	0.840231841044177
10	0.85	-0.0795350606316782	1.7581553243738
20	0.85	0.196486648960257	1.49329583928979
40	0.85	0.389456976355885	1.30554628155087
80	0.85	0.52502367829404	1.17250301971537
160	0.85	0.62052088761566	1.07824304574079
320	0.85	0.687885281268826	1.01148187506497
640	0.85	0.735430441535084	0.964259142773165
1280	0.85	0.769047050661162	0.93084415190864
2560	0.85	0.792747826802834	0.907163064234632
5120	0.85	0.809527068174334	0.890458559590843
10	0.9	-0.0350096014326381	1.81266186927234
20	0.9	0.242858024166271	1.54640126547602
40	0.9	0.437006269761132	1.35775024366056
80	0.9	0.573329992789837	1.2240483711204
160	0.9	0.669323761101627	1.12936921500837
320	0.9	0.737051659001216	1.06227870367292
640	0.9	0.784843976919256	1.01482812952196
1280	0.9	0.818615588864762	0.981230929826704
2560	0.9	0.842470917165333	0.957456732498715
5120	0.9	0.859330273824609	0.940627311911483
10	0.95	0.009225256976649	1.86741285136368
20	0.95	0.289075379365155	1.59973473122101
40	0.95	0.484437459698023	1.41010505559574
80	0.95	0.621567682318512	1.27575969490094
160	0.95	0.718093805504005	1.18052903937441
320	0.95	0.786170685490359	1.11315357012842
640	0.95	0.834245344546223	1.06541447803552
1280	0.95	0.868196217932046	1.03163803500737
2560	0.95	0.89216782107103	1.0077345551846
5120	0.95	0.909115494837006	0.990839274191771
10	1	0.0532454110022544	1.92244146468375
20	1	0.33511892603896	1.65319946375394
40	1	0.531723925629166	1.4625480220418
80	1	0.669689145680434	1.32748632124106
160	1	0.766814859447664	1.23179133963633
320	1	0.835276781146533	1.16402513191799
640	1	0.883605512895749	1.11604279463025
1280	1	0.917733087196707	1.08208943679701
2560	1	0.941849994040788	1.05805097006704
5120	1	0.958888626895791	1.04106079043251
10	1.05	0.0970401151405316	1.97774691906586
20	1.05	0.380990802286382	1.70688395538569
40	1.05	0.578924396588381	1.51516172340981
80	1.05	0.717743605212936	1.37931835220536
160	1.05	0.815428804473545	1.28308976549932
320	1.05	0.884328062061678	1.21493311157292
640	1.05	0.932937439518358	1.16670133818874
1280	1.05	0.967272655400931	1.13253346254192
2560	1.05	0.991493463141221	1.108414382838
5120	1.05	1.0086557220538	1.09129827306637
10	1.1	0.140609235152085	2.03331398937763
20	1.1	0.426729223413442	1.76073558074872
40	1.1	0.626009891599101	1.56788385560154
80	1.1	0.76573727135464	1.431231705552
160	1.1	0.864052569095996	1.33447396534664
320	1.1	0.933363857218516	1.26591420148024
640	1.1	0.982232993444372	1.21737797805405
1280	1.1	1.01678918242196	1.18303606045063
2560	1.1	1.04116835726921	1.15870018649091
5120	1.1	1.05839767373579	1.14153047749916
10	1.15	0.183976391142237	2.0890966375308
20	1.15	0.472300953809742	1.8147587193456
40	1.15	0.672978667955981	1.62067675112795
80	1.15	0.813632767161885	1.48322602513538
160	1.15	0.912576818117071	1.38588424313438
320	1.15	0.982312667638814	1.3169091938595
640	1.15	1.03152158443816	1.26810249781926
1280	1.15	1.06628611230337	1.23353815198339
2560	1.15	1.09081127496577	1.20908967266121
5120	1.15	1.10816353243145	1.19181788642266
10	1.2	0.227097533980029	2.14516394783917
20	1.2	0.517722138183845	1.86891357481969
40	1.2	0.719819289304447	1.67358852055339
80	1.2	0.861452725827699	1.5352792752267
160	1.2	0.96106126258438	1.43732295141809
320	1.2	1.03124760710858	1.36792842460191
640	1.2	1.08076863737727	1.31882875366173
1280	1.2	1.11575138290809	1.28403954234474
2560	1.2	1.14042618387416	1.25945999341705
5120	1.2	1.15790036669441	1.24206793994403
10	1.25	0.270023700066373	2.20145164996903
20	1.25	0.562997060742463	1.923287696241
40	1.25	0.766610940195263	1.72666184901669
80	1.25	0.909217791327481	1.58746389863462
160	1.25	1.00948830525704	1.48884555214335
320	1.25	1.0801626667326	1.41905179304828
640	1.25	1.1299883975331	1.36961198323723
1280	1.25	1.16519465780294	1.33458758536581
2560	1.25	1.19004394624008	1.30980578324178
5120	1.25	1.20758712073049	1.29230977905306
10	1.3	0.312722264513234	2.25802668832821
20	1.3	0.608128517561273	1.97779787334774
40	1.3	0.813285756599595	1.77979660373852
80	1.3	0.956890228495423	1.6396772636228
160	1.3	1.05787255552146	1.54040509835099
320	1.3	1.12899536838651	1.47017044226747
640	1.3	1.17919556927554	1.42037851579475
1280	1.3	1.21460468199405	1.38516684773876
2560	1.3	1.2396383068575	1.36022861737135
5120	1.3	1.2573368168638	1.34260677142104
10	1.35	0.355270326556403	2.31481537237128
20	1.35	0.653118077776082	2.03246270473288
40	1.35	0.859815159084328	1.83306056791046
80	1.35	1.00448568526354	1.69199548611416
160	1.35	1.10619677897051	1.59207603159371
320	1.35	1.17782292077915	1.52130135266022
640	1.35	1.22834702628233	1.47120069350754
1280	1.35	1.26404657510672	1.43574640113596
2560	1.35	1.28922608234693	1.41064757587631
5120	1.35	1.30703760916248	1.39288436043778
10	1.4	0.397600554933202	2.37183006607066
20	1.4	0.697951616647661	2.08727645896182
40	1.4	0.906300452825679	1.88645826202576
80	1.4	1.05206070469797	1.74436325426824
160	1.4	1.1544549463768	1.64374461452019
320	1.4	1.22661302532148	1.5724808030267
640	1.4	1.27750931480872	1.52203074493543
1280	1.4	1.31343929960065	1.4863295967165
2560	1.4	1.33879141020803	1.46105269210533
5120	1.4	1.35674792684416	1.44320608048444
10	1.45	0.439738091053833	2.42907854578951
20	1.45	0.742680607431051	2.14225261890264
40	1.45	0.952634153418456	1.93992174069697
80	1.45	1.09951725242261	1.79681179807827
160	1.45	1.20270320572679	1.69547492321524
320	1.45	1.27536844926725	1.62373956305022
640	1.45	1.32662355259619	1.57291131500803
1280	1.45	1.36279903809481	1.53692508555831
2560	1.45	1.38836217773857	1.51149316713102
5120	1.45	1.40641925954673	1.49347891077284
10	1.5	0.481623791435396	2.48653453315953
20	1.5	0.787270371530093	2.19738463702439
40	1.5	0.998960988009404	1.99350086946277
80	1.5	1.14691627321885	1.8493359595908
160	1.5	1.25088119992879	1.74727632549044
320	1.5	1.32411812751893	1.67497961207006
640	1.5	1.37572745003157	1.62381354498094
1280	1.5	1.41219746555528	1.58758022995318
2560	1.5	1.43789642305787	1.56196131291264
5120	1.5	1.45612457621813	1.54380256106011
10	1.55	0.523382641589802	2.54424463671814
20	1.55	0.831713466495909	2.25266150189946
40	1.55	1.04512303265766	2.04717633514698
80	1.55	1.1942651714574	1.90192175809421
160	1.55	1.2990169081068	1.79910071232538
320	1.55	1.37276644967906	1.72625627938599
640	1.55	1.42480504697157	1.67473940552133
1280	1.55	1.46154937726478	1.63818498204955
2560	1.55	1.48744471862908	1.61239092739958
5120	1.55	1.50576314583238	1.59411605648612
10	1.6	0.564988834881058	2.60214046945777
20	1.6	0.876036684767852	2.30805168720434
40	1.6	1.09118522277709	2.1009601703134
80	1.6	1.24153653500627	1.9545806017062
160	1.6	1.34709032171844	1.85096161911264
320	1.6	1.42143462466713	1.77762626659961
640	1.6	1.47384816207695	1.72565006963651
1280	1.6	1.51082285568484	1.68886217307702
2560	1.6	1.53697495861962	1.66284297869724
5120	1.6	1.55545041744234	1.64445086435077
10	1.65	0.606393619917582	2.66024679399997
20	1.65	0.920233360316514	2.36359550619428
40	1.65	1.13723182658096	2.1548315880498
80	1.65	1.28876862397477	2.00730312592254
160	1.65	1.3951507496243	1.90288154946101
320	1.65	1.47005516210855	1.82896037375898
640	1.65	1.52285837726767	1.77663035875091
1280	1.65	1.5601367719779	1.73957135018044
2560	1.65	1.58649365700232	1.71334894716753
5120	1.65	1.60511206991138	1.69480675270782
10	1.7	0.647628165774153	2.71855942253948
20	1.7	0.964314314037261	2.41928049459358
40	1.7	1.18313112562415	2.20883006658325
80	1.7	1.33591359895985	2.06009097981876
160	1.7	1.44314821309874	1.95486534864343
320	1.7	1.5186712128532	1.88035206252116
640	1.7	1.57191732079976	1.82760661375359
1280	1.7	1.60944050614189	1.7902229282039
2560	1.7	1.6359975797644	1.76385564521914
5120	1.7	1.65478020155359	1.74514984485285
10	1.75	0.688696628224147	2.77705734683397
20	1.75	1.00828508430561	2.47510643885648
40	1.75	1.22895517196738	2.26284754495878
80	1.75	1.38299339469841	2.11293778884797
160	1.75	1.49108146588532	2.0068737574717
320	1.75	1.56720617896779	1.93177672040623
640	1.75	1.62087787526434	1.8786217716543
1280	1.75	1.65873786907041	1.84094422477953
2560	1.75	1.68549476228166	1.81433829602948
5120	1.75	1.7043880626628	1.79550783397468
10	1.8	0.729618435977297	2.83575191177806
20	1.8	1.05212239868755	2.53103896727884
40	1.8	1.27467875455849	2.31700088530506
80	1.8	1.43002434276459	2.16585481457909
160	1.8	1.53902789995247	2.05893104405125
320	1.8	1.61577260316332	1.98319932616348
640	1.8	1.66983750071327	1.92961730400649
1280	1.8	1.70799084476595	1.89169368453706
2560	1.8	1.73497334237014	1.86484016794038
5120	1.8	1.75404343027988	1.84588786003238
10	1.85	0.770363457326766	2.8946308560643
20	1.85	1.09585974504563	2.58710781342754
40	1.85	1.32039829041367	2.37123549567222
80	1.85	1.47700563514774	2.21884546252249
160	1.85	1.5869345856436	2.11101253874496
320	1.85	1.66425388462807	2.03468869296406
640	1.85	1.71878936219557	1.98068010135695
1280	1.85	1.75723733396926	1.94240063836254
2560	1.85	1.78445621447114	1.91537350725276
5120	1.85	1.80366641101188	1.8962719637966
10	1.9	0.810950012902421	2.95368311284926
20	1.9	1.1394843285266	2.64327391978451
40	1.9	1.36596857234655	2.42554340821297
80	1.9	1.52392380994236	2.27188436698639
160	1.9	1.63473356175147	2.16316991995828
320	1.9	1.7127310417278	2.08620315365795
640	1.9	1.76771566183692	2.03175633916504
1280	1.9	1.80646886275928	1.99317811086349
2560	1.9	1.83390531220198	1.9659121782943
5120	1.9	1.85328028952695	1.94662504113524
10	1.95	0.851390971823127	3.01291835889919
20	1.95	1.18300190053296	2.69960919133165
40	1.95	1.41148151213162	2.47993502927735
80	1.95	1.57079393565093	2.32496042515334
160	1.95	1.68253497460639	2.21533673328302
320	1.95	1.76118266213807	2.13775616276859
640	1.95	1.81659569476333	2.08284353862662
1280	1.95	1.85569721269084	2.04390439517845
2560	1.95	1.88336050185569	2.01643191381261
5120	1.95	1.90287309708447	1.99699949681209
10	2	0.891687696760818	3.07233122028636
20	2	1.22640945041916	2.75603773233457
40	2	1.45691610271147	2.53440545941794
80	2	1.61761720147901	2.3780899688755
160	2	1.73029150366292	2.26752886619646
320	2	1.809604679241	2.18932150696785
640	2	1.86548896766658	2.13383258900211
1280	2	1.9049191204418	2.09470262819862
2560	2	1.93279787392658	2.06701066847379
5120	2	1.95253123701847	2.04740413244727
10	2.05	0.931842186283721	3.13195359446583
20	2.05	1.26972314958905	2.81257877398921
40	2.05	1.5022952697577	2.58898899456488
80	2.05	1.66436917657544	2.4312779624594
160	2.05	1.7780570171766	2.31980552549871
320	2.05	1.85800265670608	2.24089806095233
640	2.05	1.9143759016974	2.18494097166324
1280	2.05	1.95410748911093	2.1455235035324
2560	2.05	1.98223696631498	2.11756136226719
5120	2.05	2.00211140182432	2.09777889342666
10	2.1	0.971833192623677	3.19164503440983
20	2.1	1.3129274706016	2.86923592387808
40	2.1	1.54760313955124	2.64359841834023
80	2.1	1.71107886145602	2.48456132665243
160	2.1	1.82571902980045	2.37210833825864
320	2.1	1.9063935481935	2.29253893157225
640	2.1	1.96323760399544	2.23609507742604
1280	2.1	2.00331649152355	2.19630680659835
2560	2.1	2.0316624290145	2.16813831003754
5120	2.1	2.05171951993593	2.14816884055101
10	2.15	1.01173360230096	3.25156217736892
20	2.15	1.35606094406407	2.92598367886849
40	2.15	1.59282372367853	2.69830782171451
80	2.15	1.75776118816444	2.53783362822485
160	2.15	1.87338350077449	2.42442525301485
320	2.15	1.95474733632598	2.34415814490157
640	2.15	2.01205780900717	2.2872527054972
1280	2.15	2.05246437304734	2.24711066638372
2560	2.15	2.08108043411353	2.21869827229709
5120	2.15	2.1012902687032	2.19858467112044
10	2.2	1.05148484503679	3.31162193286179
20	2.2	1.39907762905963	2.98285752788852
40	2.2	1.63798095918257	2.75307870863914
80	2.2	1.8043417073513	2.59119706152483
160	2.2	1.92098884342348	2.4767899217311
320	2.2	2.00302187293805	2.39582925305378
640	2.2	2.06087704554156	2.33841000716592
1280	2.2	2.10161477056013	2.29794738673269
2560	2.2	2.13047313876688	2.26929984965271
5120	2.2	2.15087345832994	2.24902294826931
10	2.25	1.09111061233862	3.37183375904662
20	2.25	1.44200677346193	3.03982003776577
40	2.25	1.68306462015201	2.80792040515486
80	2.25	1.85092783883203	2.64460578966039
160	2.25	1.96857530280526	2.52919077793832
320	2.25	2.05133992081928	2.44751320451195
640	2.25	2.109493910629	2.38961153764052
1280	2.25	2.15075795726984	2.34881156092539
2560	2.25	2.17990595250353	2.31989715394664
5120	2.25	2.2004451480297	2.29944830709524
10	2.3	1.13059650649091	3.43217969684936
20	2.3	1.48484182404559	3.09688085802932
40	2.3	1.72809867937763	2.86283612923683
80	2.3	1.89747915875168	2.69804522008854
160	2.3	2.01612999133348	2.58163764167835
320	2.3	2.09962952725903	2.49926115521865
640	2.3	2.15830514436524	2.44081210454233
1280	2.3	2.19991088028479	2.39963495864046
2560	2.3	2.22925920171518	2.37051768511719
5120	2.3	2.25001419383356	2.34987763952077
10	2.35	1.16995492302325	3.49267030072152
20	2.35	1.52759247699302	3.15404175393046
40	2.35	1.77309097423678	2.91782070224598
80	2.35	1.9439201997326	2.75153714536953
160	2.35	2.06365083011617	2.63409218297937
320	2.35	2.1478698430534	2.55101185858121
640	2.35	2.20704307978555	2.49203569003159
1280	2.35	2.24903259671484	2.45050782050082
2560	2.35	2.27865350305172	2.42111151065802
5120	2.35	2.29958170782493	2.40032817888179
10	2.4	1.20922606741786	3.55329855066054
20	2.4	1.57026879751961	3.2112753520705
40	2.4	1.81799798275247	2.9728344483621
80	2.4	1.99036616535558	2.80508455961982
160	2.4	2.11115128085654	2.68656521967496
320	2.4	2.19612505432963	2.60276253145016
640	2.4	2.25579171056994	2.54326299279524
1280	2.4	2.2981182450636	2.50139057032221
2560	2.4	2.32801541068603	2.47174266783791
5120	2.4	2.34911890473478	2.45076032144314
10	2.45	1.24836346282482	3.61406027362162
20	2.45	1.61287353257133	3.26863914877977
40	2.45	1.86283985998514	3.02799301979364
80	2.45	2.03677499868327	2.85867130873262
160	2.45	2.15861592401322	2.73911003402744
320	2.45	2.24433547753429	2.654547386732
640	2.45	2.30451649225904	2.59450246890363
1280	2.45	2.34726964683662	2.55227435778432
2560	2.45	2.37737557530388	2.52234418489935
5120	2.45	2.39869313202621	2.50119093422709
10	2.5	1.28738812364799	3.67496349475052
20	2.5	1.65534870558019	3.32604711834744
40	2.5	1.90766154212497	3.08314477868511
80	2.5	2.08310482637855	2.91227909165823
160	2.5	2.20604216850146	2.79166451872657
320	2.5	2.29249802435835	2.70638001162852
640	2.5	2.35322860876941	2.64579068974137
1280	2.5	2.39633817049486	2.60319652297126
2560	2.5	2.42675772126909	2.57296892308331
5120	2.5	2.44820305746456	2.55163758614974
10	2.55	1.32630261874736	3.73596780965607
20	2.55	1.69778087022546	3.38359547246596
40	2.55	1.95235934911667	3.13838750134275
80	2.55	2.12941019152197	2.96596435487545
160	2.55	2.25344814780494	2.84422188838685
320	2.55	2.34069318800923	2.75817733869938
640	2.55	2.40192838655598	2.69706966826694
1280	2.55	2.44540992727129	2.65408015243028
2560	2.55	2.47609862078636	2.62364411479614
5120	2.55	2.49777966361511	2.6021142357006
10	2.6	1.36510947631707	3.7970808232469
20	2.6	1.74012959133399	3.44120931079934
40	2.6	1.99706304949736	3.19367653360945
80	2.6	2.17570066334422	3.01968166935103
160	2.6	2.30082308505257	2.89686455807833
320	2.6	2.38883639385639	2.81004262138355
640	2.6	2.45062816686295	2.74833913322174
1280	2.6	2.49446631312784	2.70499699520809
2560	2.6	2.52544055254384	2.67426812174474
5120	2.6	2.54730112114211	2.65254467608241
10	2.65	1.40381164835078	3.85836704665018
20	2.65	1.78240168636418	3.49888271106584
40	2.65	2.04169288141096	3.2490026460925
80	2.65	2.22191096682667	3.07343199670351
160	2.65	2.34817651637617	2.94950957704555
320	2.65	2.43694274575913	2.86185888796034
640	2.65	2.49928371550357	2.79967712697518
1280	2.65	2.54355820049523	2.75592012154423
2560	2.65	2.57478434102995	2.72497143616201
5120	2.65	2.59684547303367	2.70301951993395
10	2.7	1.44241230852073	3.91975321948937
20	2.7	1.82460317849814	3.55662025511166
40	2.7	2.08627046638467	3.30441162086296
80	2.7	2.26813425126719	3.12719860516081
160	2.7	2.39550481500392	3.00216774964966
320	2.7	2.48508563565835	2.9137630868005
640	2.7	2.54793316247152	2.85099915399021
1280	2.7	2.59260305368197	2.80686039213961
2560	2.7	2.62410100100023	2.7756173055713
5120	2.7	2.64638005332478	2.75348242387066
10	2.75	1.48090183180761	3.98122070338851
20	2.75	1.86673468368746	3.61449273856322
40	2.75	2.13079665997033	3.35987427850465
80	2.75	2.31427048285634	3.18104914133101
160	2.75	2.4428201588057	3.05484902915296
320	2.75	2.53317697717791	2.96566626438422
640	2.75	2.59659352603002	2.9023321304617
1280	2.75	2.64165934103174	2.85781329446831
2560	2.75	2.67345158457383	2.8262517001848
5120	2.75	2.69590366903493	2.80395774978107
10	2.8	1.51931802664216	4.04281210080706
20	2.8	1.90882708985772	3.67240928788699
40	2.8	2.17528170833603	3.41537493936576
80	2.8	2.36042726796765	3.23488633849683
160	2.8	2.49009165555406	3.10759263197071
320	2.8	2.58123899557413	3.01710470338184
640	2.8	2.6452190006172	2.95368585893871
1280	2.8	2.69066303731287	2.90876421617963
2560	2.8	2.7227776849316	2.87695629489579
5120	2.8	2.74542670256974	2.85444954192926
10	2.85	1.5576391212451	4.10451989920671
20	2.85	1.9507970603717	3.7304000142096
40	2.85	2.21970028545672	3.47094472450775
