n	d	lo	hi
20	-2.65	-3.49888271106584	-1.78240168636419
40	-2.65	-3.2490026460925	-2.04169288141096
80	-2.65	-3.07343199670351	-2.22191096682667
160	-2.65	-2.94950957704555	-2.34817651637617
320	-2.65	-2.86185888796034	-2.43694274575913
640	-2.65	-2.79967712697518	-2.49928371550357
1280	-2.65	-2.75592012154423	-2.54355820049523
2560	-2.65	-2.72497143616201	-2.57478434102995
5120	-2.65	-2.70301951993395	-2.59684547303367
10	-2.6	-3.7970808232469	-1.36510947631707
20	-2.6	-3.44120931079934	-1.74012959133399
40	-2.6	-3.19367653360945	-1.99706304949736
80	-2.6	-3.01968166935103	-2.17570066334422
160	-2.6	-2.89686455807833	-2.30082308505257
320	-2.6	-2.81004262138355	-2.38883639385639
640	-2.6	-2.74833913322174	-2.45062816686295
1280	-2.6	-2.70499699520809	-2.49446631312784
2560	-2.6	-2.67426812174474	-2.52544055254384
5120	-2.6	-2.65254467608241	-2.54730112114211
10	-2.55	-3.73596780965607	-1.32630261874736
20	-2.55	-3.38359547246596	-1.69778087022546
40	-2.55	-3.13838750134275	-1.95235934911667
80	-2.55	-2.96596435487545	-2.12941019152197
160	-2.55	-2.84422188838685	-2.25344814780494
320	-2.55	-2.75817733869938	-2.34069318800923
640	-2.55	-2.69706966826694	-2.40192838655598
1280	-2.55	-2.65408015243028	-2.44540992727129
2560	-2.55	-2.62364411479614	-2.47609862078636
5120	-2.55	-2.6021142357006	-2.49777966361511
10	-2.5	-3.67496349475052	-1.28738812364799
20	-2.5	-3.32604711834744	-1.65534870558019
40	-2.5	-3.08314477868511	-1.90766154212497
80	-2.5	-2.91227909165823	-2.08310482637855
160	-2.5	-2.79166451872657	-2.20604216850146
320	-2.5	-2.70638001162852	-2.29249802435835
640	-2.5	-2.64579068974137	-2.35322860876941
1280	-2.5	-2.60319652297126	-2.39633817049486
2560	-2.5	-2.57296892308331	-2.42675772126909
5120	-2.5	-2.55163758614974	-2.44820305746456
10	-2.45	-3.61406027362162	-1.24836346282482
20	-2.45	-3.26863914877977	-1.61287353257133
40	-2.45	-3.02799301979364	-1.86283985998514
80	-2.45	-2.85867130873262	-2.03677499868327
160	-2.45	-2.73911003402744	-2.15861592401322
320	-2.45	-2.654547386732	-2.24433547753429
640	-2.45	-2.59450246890363	-2.30451649225904
1280	-2.45	-2.55227435778432	-2.34726964683662
2560	-2.45	-2.52234418489935	-2.37737557530388
5120	-2.45	-2.50119093422709	-2.39869313202621
10	-2.4	-3.55329855066054	-1.20922606741786
20	-2.4	-3.2112753520705	-1.57026879751961
40	-2.4	-2.9728344483621	-1.81799798275247
80	-2.4	-2.80508455961982	-1.99036616535558
160	-2.4	-2.68656521967496	-2.11115128085654
320	-2.4	-2.60276253145016	-2.19612505432963
640	-2.4	-2.54326299279524	-2.25579171056994
1280	-2.4	-2.50139057032221	-2.2981182450636
2560	-2.4	-2.47174266783791	-2.32801541068603
5120	-2.4	-2.45076032144314	-2.34911890473478
10	-2.35	-3.49267030072152	-1.16995492302325
20	-2.35	-3.15404175393046	-1.52759247699302
40	-2.35	-2.91782070224598	-1.77309097423678
80	-2.35	-2.75153714536953	-1.9439201997326
160	-2.35	-2.63409218297937	-2.06365083011617
320	-2.35	-2.55101185858121	-2.1478698430534
640	-2.35	-2.49203569003159	-2.20704307978555
1280	-2.35	-2.45050782050082	-2.24903259671484
2560	-2.35	-2.42111151065802	-2.27865350305172
5120	-2.35	-2.40032817888179	-2.29958170782493
