n1	n2	d	lo	hi
80	640	-2.95	-3.42413842807767	-2.47182525646868
80	1280	-2.95	-3.41059753933333	-2.4849999445236
80	2560	-2.95	-3.40369848682595	-2.49174569453966
80	5120	-2.95	-3.40021546644337	-2.49516282393106
160	10	-2.95	-4.30341006885847	-1.63274559029167
160	20	-2.95	-3.91841421176017	-1.99859683274773
160	40	-2.95	-3.66513760927226	-2.24220700574372
160	80	-2.95	-3.50095028879972	-2.4015045073646
160	160	-2.95	-3.39843308588975	-2.50156691411025
160	320	-2.95	-3.33763179928073	-2.56142636180561
160	640	-2.95	-3.30362717098552	-2.5947576923516
160	1280	-2.95	-3.28525366563123	-2.61270033592491
160	2560	-2.95	-3.27571036831427	-2.62206247505805
160	5120	-2.95	-3.27084091588212	-2.62685472535331
320	10	-2.95	-4.28477191095202	-1.65218438937226
320	20	-2.95	-3.89219070538723	-2.02569801149697
320	40	-2.95	-3.62920471139022	-2.27907742472676
320	80	-2.95	-3.45343168405208	-2.44998651544748
320	160	-2.95	-3.33857363819439	-2.56236820071927
320	320	-2.95	-3.26647377710109	-2.63352622289891
320	640	-2.95	-3.22376890955373	-2.67547627345461
320	1280	-2.95	-3.19958417437448	-2.69912703876627
320	2560	-2.95	-3.18661040511024	-2.71186306553148
320	5120	-2.95	-3.17986111694476	-2.71850691625992
640	10	-2.95	-4.275452254557	-1.66193201909423
640	20	-2.95	-3.87894076784358	-2.03943537835238
640	40	-2.95	-3.61070164584206	-2.29813278479672
640	80	-2.95	-3.42817474353132	-2.47586157192233
640	160	-2.95	-3.3052423076484	-2.59637282901448
640	320	-2.95	-3.22452372654539	-2.67623109044627
640	640	-2.95	-3.17395767609524	-2.72604232390476
640	1280	-2.95	-3.14364887023148	-2.75575529113052
640	2560	-2.95	-3.12661287792845	-2.77250925713245
640	5120	-2.95	-3.1174627060776	-2.78152800806929
1280	10	-2.95	-4.27075646708697	-1.66685465839032
1280	20	-2.95	-3.87222823444288	-2.0464122762807
1280	40	-2.95	-3.60123009072079	-2.30791456135742
1280	80	-2.95	-3.4150000554764	-2.48940246066667
1280	160	-2.95	-3.28729966407509	-2.61474633436877
1280	320	-2.95	-3.20087296123373	-2.70041582562552
1280	640	-2.95	-3.14424470886948	-2.75635112976852
1280	1280	-2.95	-3.10834724874067	-2.79165275125933
1280	2560	-2.95	-3.0869893240073	-2.81271996480324
1280	5120	-2.95	-3.07497089328576	-2.8245980210481
2560	10	-2.95	-4.26839660278382	-1.6693149522998
2560	20	-2.95	-3.86884540227587	-2.04990945001936
2560	40	-2.95	-3.59643065207344	-2.31284543929665
2560	80	-2.95	-3.40825430546034	-2.49630151317405
2560	160	-2.95	-3.27793752494196	-2.62428963168573
2560	320	-2.95	-3.18813693446852	-2.71338959488976
2560	640	-2.95	-3.12749074286755	-2.77338712207155
2560	1280	-2.95	-3.08728003519676	-2.8130106759927
2560	2560	-2.95	-3.06197335295446	-2.83802664704554
2560	5120	-2.95	-3.04690036660678	-2.85295423742742
5120	10	-2.95	-4.26721275824878	-1.67054470938625
5120	20	-2.95	-3.86714596523397	-2.0516600601993
5120	40	-2.95	-3.5940127608996	-2.31532088146707
5120	80	-2.95	-3.40483717606894	-2.49978453355663
5120	160	-2.95	-3.27314527464669	-2.62915908411788
5120	320	-2.95	-3.18149308374008	-2.72013888305524
