n1	n2	d	scpd
160	40	0.1	-0.320503107675617
160	80	0.1	-0.210433485668553
160	160	0.1	-0.133511197852471
160	320	0.1	-0.0793923167508772
160	640	0.1	-0.0412636082778926
160	1280	0.1	-0.0143038179790693
160	2560	0.1	0.00475494780106146
160	5120	0.1	0.018197361409932
320	10	0.1	-0.704347899265653
320	20	0.1	-0.465288195778568
320	40	0.1	-0.305805756613336
320	80	0.1	-0.195822818384023
320	160	0.1	-0.118985008169493
320	320	0.1	-0.0649264948997582
320	640	0.1	-0.0267921348418144
320	1280	0.1	0.000135958803906567
320	2560	0.1	0.0192225124761211
320	5120	0.1	0.0326422778911265
640	10	0.1	-0.693258530619726
640	20	0.1	-0.454692946708902
640	40	0.1	-0.295435113598944
640	80	0.1	-0.185552865423844
640	160	0.1	-0.108748816135572
640	320	0.1	-0.0546987886731754
640	640	0.1	-0.0165850927570122
640	1280	0.1	0.0103616067868858
640	2560	0.1	0.0293749515282806
640	5120	0.1	0.0428581550730088
1280	10	0.1	-0.685442246228253
1280	20	0.1	-0.447203987313275
1280	40	0.1	-0.288100123777286
1280	80	0.1	-0.178286729197725
1280	160	0.1	-0.101488692870226
1280	320	0.1	-0.047475491663218
1280	640	0.1	-0.00936579568886318
1280	1280	0.1	0.0175712397133467
1280	2560	0.1	0.0365935141126939
1280	5120	0.1	0.0500764961471603
2560	10	0.1	-0.679870497158131
2560	20	0.1	-0.44192809983879
2560	40	0.1	-0.282902559221583
2560	80	0.1	-0.173165151568835
2560	160	0.1	-0.0964157015654232
2560	320	0.1	-0.0423793391624273
2560	640	0.1	-0.00427675156903743
2560	1280	0.1	0.0226521152660678
2560	2560	0.1	0.0417034287133686
2560	5120	0.1	0.0551795893454164
5120	10	0.1	-0.675969596057086
5120	20	0.1	-0.438194839075884
5120	40	0.1	-0.279243195936994
5120	80	0.1	-0.169540045155406
5120	160	0.1	-0.092800893905256
5120	320	0.1	-0.0387726236881728
5120	640	0.1	-0.000676747379851052
5120	1280	0.1	0.0262547498041182
5120	2560	0.1	0.0452787365424027
5120	5120	0.1	0.0587548901568065
10	10	0.15	-0.829425798830897
10	20	0.15	-0.58448284631112
10	40	0.15	-0.422413583222475
10	80	0.15	-0.311259839001188
10	160	0.15	-0.233823829366631
10	320	0.15	-0.179485159872707
10	640	0.15	-0.141209337509157
10	1280	0.15	-0.114181475866156
10	2560	0.15	-0.0951208532017805
10	5120	0.15	-0.0816300662950987
20	10	0.15	-0.76487832016801
20	20	0.15	-0.523029258551734
20	40	0.15	-0.362335531914221
20	80	0.15	-0.251835710163601
20	160	0.15	-0.174683797244809
20	320	0.15	-0.120503179939318
20	640	0.15	-0.0823363104191381
20	1280	0.15	-0.0553369290157389
20	2560	0.15	-0.0363031560203785
20	5120	0.15	-0.0228116113900743
40	10	0.15	-0.719769293695837
40	20	0.15	-0.480006402852412
40	40	0.15	-0.320192653894452
40	80	0.15	-0.210126375735601
40	160	0.15	-0.133204462806781
40	320	0.15	-0.0790895315771546
40	640	0.15	-0.0409579763349231
40	1280	0.15	-0.0139989038427052
40	2560	0.15	0.0050588163105798
40	5120	0.15	0.0185022898471685
80	10	0.15	-0.688141130613748
80	20	0.15	-0.449788967584312
80	40	0.15	-0.29061014369279
80	80	0.15	-0.180795355317177
80	160	0.15	-0.104036842979286
80	320	0.15	-0.0499745295047959
80	640	0.15	-0.0118580631793067
80	1280	0.15	0.0150833912733709
80	2560	0.15	0.0341095706102277
80	5120	0.15	0.0475633031885342
160	10	0.15	-0.6658326922613
160	20	0.15	-0.428496870147711
160	40	0.15	-0.269733361516948
160	80	0.15	-0.160139512224728
160	160	0.15	-0.0834144998663806
160	320	0.15	-0.0294029725698057
160	640	0.15	0.00867225658478583
160	1280	0.15	0.0356156120131713
160	2560	0.15	0.0546475364682206
160	5120	0.15	0.0681131615279256
