n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
80	20	0.9	0.7	1	1	1	1	0.978761061946903	0.748672566371681	1	0.815929203539823	1	0.992920353982301	0.998230088495575	1	0.998230088495575	0.985840707964602	0.982300884955752	1	0.99646017699115	1	1	1	1	1	0.923893805309735	0.99646017699115	0.95929203539823	1	0.492035398230089	0.507964601769912
160	20	0.9	0.7	1	1	1	1	0.987610619469027	0.672566371681416	1	0.702654867256637	1	0.991150442477876	1	1	1	0.991150442477876	0.985840707964602	1	0.991150442477876	1	1	1	1	1	0.892035398230088	1	0.909734513274336	1	0.515044247787611	0.484955752212389
320	20	0.9	0.7	1	1	1	1	0.987610619469027	0.56283185840708	1	0.573451327433628	1	0.991150442477876	0.99646017699115	1	0.99646017699115	0.989380530973451	0.984070796460177	1	0.994690265486726	1	1	1	1	1	0.87787610619469	1	0.883185840707965	1	0.527433628318584	0.472566371681416
640	20	0.9	0.7	1	1	1	1	0.984070796460177	0.401769911504425	1	0.407079646017699	1	0.985840707964602	0.994690265486726	1	0.994690265486726	0.984070796460177	0.978761061946903	1	0.985840707964602	1	1	1	1	1	0.853097345132743	1	0.858407079646018	1	0.539823008849557	0.460176991150442
1280	20	0.9	0.7	1	1	1	1	0.989380530973451	0.27787610619469	1	0.279646017699115	1	0.991150442477876	0.994690265486726	1	0.994690265486726	0.991150442477876	0.980530973451327	1	0.991150442477876	1	1	1	1	1	0.830088495575221	1	0.835398230088496	1	0.530973451327434	0.469026548672566
2560	20	0.9	0.7	1	1	1	1	0.989380530973451	0.189380530973451	1	0.189380530973451	1	0.991150442477876	0.994690265486726	1	0.994690265486726	0.989380530973451	0.987610619469027	1	0.991150442477876	1	1	1	1	1	0.808849557522124	1	0.810619469026549	1	0.543362831858407	0.456637168141593
5120	20	0.9	0.7	1	1	1	1	0.987610619469027	0.134513274336283	1	0.134513274336283	1	0.987610619469027	0.992920353982301	1	0.992920353982301	0.987610619469027	0.982300884955752	1	0.987610619469027	1	1	1	1	1	0.794690265486726	1	0.794690265486726	1	0.545132743362832	0.454867256637168
10	40	0.9	0.7	1	1	1	1	0.402325581395349	0.895348837209302	0.465116279069767	1	0.932558139534884	1	0.97906976744186	0.990697674418605	1	0.874418604651163	0.923255813953488	0.965116279069767	1	1	1	1	1	1	1	0.595348837209302	1	0.697674418604651	0.965116279069767	0.0348837209302326
20	40	0.9	0.7	1	1	1	1	0.67887323943662	0.874647887323944	0.770422535211268	1	0.976056338028169	1	0.997183098591549	1	1	0.91830985915493	0.938028169014084	0.997183098591549	1	1	1	1	1	1	1	0.766197183098592	1	0.911267605633803	0.815492957746479	0.184507042253521
40	40	0.9	0.7	1	1	1	1	0.807200929152149	0.828106852497096	0.921022067363531	0.963995354239257	0.988385598141696	0.991869918699187	0.989547038327526	1	1	0.927990708478513	0.950058072009291	1	1	1	1	1	1	1	0.987224157955865	0.858304297328688	1	0.988385598141696	0.720092915214866	0.279907084785134
