n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
40	320	0.2	0	1	0	0.5	0.142857142857143	0	0.214285714285714	0.785714285714286	0.214285714285714	0.285714285714286	1	0
80	320	0.2	0	1	0.0588235294117647	0.588235294117647	0.176470588235294	0	0.117647058823529	0.882352941176471	0.411764705882353	0.411764705882353	1	0
160	320	0.2	0	1	0.125	0.425	0.275	0.1	0.25	0.825	0.4	0.4	1	0
320	320	0.2	0	1	0.0972222222222222	0.486111111111111	0.555555555555556	0.222222222222222	0.236111111111111	0.777777777777778	0.444444444444444	0.444444444444444	0.972222222222222	0.0138888888888889
20	20	0.5	0	1	0.0256410256410256	0.58974358974359	0.461538461538462	0.307692307692308	0.333333333333333	0.871794871794872	0.692307692307692	0.692307692307692	1	0.0256410256410256
40	20	0.5	0	1	0.0227272727272727	0.477272727272727	0.659090909090909	0.431818181818182	0.272727272727273	0.863636363636364	0.636363636363636	0.636363636363636	1	0.0227272727272727
80	20	0.5	0	1	0.0113636363636364	0.5	0.965909090909091	0.590909090909091	0.284090909090909	0.886363636363636	0.681818181818182	0.704545454545455	1	0.0568181818181818
160	20	0.5	0	1	0.0412371134020619	0.494845360824742	0.989690721649485	0.628865979381443	0.216494845360825	0.876288659793814	0.670103092783505	0.670103092783505	1	0.0721649484536082
320	20	0.5	0	1	0.04	0.49	1	0.66	0.14	0.81	0.69	0.69	1	0.05
20	40	0.5	0	1	0.0512820512820513	0.512820512820513	0.256410256410256	0.0769230769230769	0.307692307692308	0.871794871794872	0.487179487179487	0.538461538461538	0.974358974358974	0
40	40	0.5	0	1	0.0454545454545455	0.522727272727273	0.409090909090909	0.181818181818182	0.181818181818182	0.772727272727273	0.454545454545455	0.454545454545455	1	0
80	40	0.5	0	1	0.0795454545454545	0.465909090909091	0.795454545454545	0.386363636363636	0.215909090909091	0.761363636363636	0.477272727272727	0.488636363636364	0.965909090909091	0.0113636363636364
160	40	0.5	0	1	0.0721649484536082	0.45360824742268	0.948453608247423	0.350515463917526	0.11340206185567	0.721649484536082	0.443298969072165	0.443298969072165	0.969072164948454	0.0309278350515464
320	40	0.5	0	1	0.07	0.46	1	0.33	0.05	0.65	0.38	0.38	0.96	0.01
20	80	0.5	0	1	0.0512820512820513	0.461538461538462	0.0769230769230769	0.0256410256410256	0.153846153846154	0.717948717948718	0.205128205128205	0.256410256410256	1	0
40	80	0.5	0	1	0	0.5	0.25	0.0454545454545455	0.136363636363636	0.75	0.227272727272727	0.272727272727273	1	0
80	80	0.5	0	1	0.0454545454545455	0.534090909090909	0.659090909090909	0.0795454545454545	0.0795454545454545	0.704545454545455	0.295454545454545	0.295454545454545	0.965909090909091	0.0113636363636364
160	80	0.5	0	1	0.0412371134020619	0.494845360824742	0.969072164948454	0.103092783505155	0.0515463917525773	0.577319587628866	0.175257731958763	0.195876288659794	0.876288659793814	0
320	80	0.5	0	1	0.04	0.5	1	0.1	0.02	0.42	0.13	0.13	0.85	0
20	160	0.5	0	1	0.0512820512820513	0.461538461538462	0.128205128205128	0	0.153846153846154	0.666666666666667	0.179487179487179	0.205128205128205	1	0
40	160	0.5	0	1	0.0227272727272727	0.431818181818182	0.159090909090909	0	0.0454545454545455	0.568181818181818	0.136363636363636	0.181818181818182	0.954545454545455	0
80	160	0.5	0	1	0.0340909090909091	0.454545454545455	0.420454545454545	0.0227272727272727	0.102272727272727	0.454545454545455	0.181818181818182	0.181818181818182	0.886363636363636	0
160	160	0.5	0	1	0.0309278350515464	0.463917525773196	0.907216494845361	0.0309278350515464	0.0309278350515464	0.319587628865979	0.103092783505155	0.11340206185567	0.731958762886598	0.0103092783505155
320	160	0.5	0	1	0.03	0.46	1	0.01	0.01	0.12	0.03	0.03	0.57	0
20	320	0.5	0	1	0.0512820512820513	0.58974358974359	0.0512820512820513	0	0.0512820512820513	0.615384615384615	0.0512820512820513	0.0512820512820513	1	0
40	320	0.5	0	1	0.113636363636364	0.409090909090909	0.0909090909090909	0	0.0909090909090909	0.318181818181818	0.0909090909090909	0.0909090909090909	0.909090909090909	0
80	320	0.5	0	1	0.0795454545454545	0.477272727272727	0.25	0	0.0681818181818182	0.329545454545455	0.113636363636364	0.113636363636364	0.829545454545455	0
160	320	0.5	0	1	0.0824742268041237	0.474226804123711	0.680412371134021	0	0	0.144329896907216	0.0206185567010309	0.0206185567010309	0.628865979381443	0
320	320	0.5	0	1	0.08	0.46	0.98	0	0	0.06	0	0	0.25	0
20	20	0.8	0	1	0.0140845070422535	0.450704225352113	0.52112676056338	0.183098591549296	0.211267605633803	0.76056338028169	0.366197183098592	0.394366197183099	0.971830985915493	0
40	20	0.8	0	1	0.0425531914893617	0.5	0.829787234042553	0.329787234042553	0.212765957446809	0.787234042553192	0.404255319148936	0.436170212765957	1	0.0106382978723404
80	20	0.8	0	1	0.04	0.49	1	0.31	0.1	0.66	0.39	0.44	0.96	0.01
160	20	0.8	0	1	0.04	0.49	1	0.3	0.05	0.6	0.35	0.39	0.96	0.01
320	20	0.8	0	1	0.04	0.49	1	0.31	0.03	0.53	0.32	0.35	0.96	0
20	40	0.8	0	1	0.0563380281690141	0.492957746478873	0.309859154929577	0.0422535211267606	0.140845070422535	0.577464788732394	0.197183098591549	0.253521126760563	0.971830985915493	0
40	40	0.8	0	1	0.0638297872340425	0.436170212765957	0.617021276595745	0.074468085106383	0.074468085106383	0.627659574468085	0.212765957446809	0.25531914893617	0.914893617021277	0
80	40	0.8	0	1	0.07	0.46	0.98	0.06	0.02	0.39	0.19	0.21	0.86	0
160	40	0.8	0	1	0.07	0.46	1	0.06	0.02	0.23	0.1	0.1	0.75	0.01
320	40	0.8	0	1	0.07	0.46	1	0.06	0.01	0.2	0.06	0.09	0.71	0
20	80	0.8	0	1	0.028169014084507	0.549295774647887	0.169014084507042	0	0.0845070422535211	0.47887323943662	0.0985915492957746	0.126760563380282	0.985915492957746	0
40	80	0.8	0	1	0.0319148936170213	0.521276595744681	0.48936170212766	0.0212765957446809	0.0851063829787234	0.351063829787234	0.180851063829787	0.180851063829787	0.893617021276596	0
80	80	0.8	0	1	0.04	0.5	0.91	0.01	0.01	0.18	0.04	0.04	0.65	0
160	80	0.8	0	1	0.04	0.5	1	0	0	0.07	0.01	0.01	0.41	0
320	80	0.8	0	1	0.04	0.5	1	0	0	0.02	0	0	0.25	0
20	160	0.8	0	1	0.0140845070422535	0.450704225352113	0.0845070422535211	0	0.0563380281690141	0.323943661971831	0.0704225352112676	0.112676056338028	0.943661971830986	0
40	160	0.8	0	1	0.0319148936170213	0.457446808510638	0.265957446808511	0	0.0106382978723404	0.297872340425532	0.0319148936170213	0.0425531914893617	0.819148936170213	0
80	160	0.8	0	1	0.03	0.46	0.82	0.01	0.01	0.07	0.02	0.02	0.43	0
160	160	0.8	0	1	0.03	0.46	1	0	0	0.02	0	0	0.09	0
320	160	0.8	0	1	0.03	0.46	1	0	0	0	0	0	0.04	0
20	320	0.8	0	1	0.0985915492957746	0.47887323943662	0.0845070422535211	0	0.0422535211267606	0.23943661971831	0.0422535211267606	0.0422535211267606	0.887323943661972	0
40	320	0.8	0	1	0.0851063829787234	0.457446808510638	0.0851063829787234	0	0.0212765957446809	0.212765957446809	0.0319148936170213	0.0319148936170213	0.734042553191489	0
80	320	0.8	0	1	0.08	0.46	0.53	0	0	0.07	0	0	0.25	0
160	320	0.8	0	1	0.08	0.46	0.96	0	0	0	0	0	0.03	0
320	320	0.8	0	1	0.08	0.46	1	0	0	0	0	0	0	0
20	20	1	0	1	0.0340909090909091	0.477272727272727	0.522727272727273	0.102272727272727	0.136363636363636	0.636363636363636	0.318181818181818	0.375	0.943181818181818	0
40	20	1	0	1	0.0404040404040404	0.494949494949495	0.94949494949495	0.222222222222222	0.101010101010101	0.606060606060606	0.323232323232323	0.343434343434343	0.95959595959596	0.0202020202020202
