n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
80	160	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0
160	160	0	0	0.666666666666667	0	0.666666666666667	0.333333333333333	0.333333333333333	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0
320	160	0	0	0.625	0	0.625	0.5	0.625	0.625	0.625	0.625	0.625	0.625	0
20	320	0	0	0.5	0.25	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0.5	0.25
40	320	0	0	0.428571428571429	0	0.428571428571429	0	0	0.142857142857143	0.428571428571429	0.142857142857143	0.142857142857143	0.428571428571429	0
80	320	0	0	0.75	0.25	0.75	0.25	0.25	0.5	0.75	0.75	0.75	0.75	0.25
160	320	0	0	0.666666666666667	0	0.666666666666667	0	0	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0
320	320	0	0	0.375	0.125	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.125
20	20	0.2	0	0.571428571428571	0.142857142857143	0.571428571428571	0.428571428571429	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.142857142857143
40	20	0.2	0	0.5	0	0.5	0.5	0.428571428571429	0.285714285714286	0.5	0.428571428571429	0.428571428571429	0.5	0.0714285714285714
80	20	0.2	0	0.411764705882353	0	0.411764705882353	0.411764705882353	0.411764705882353	0.352941176470588	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.117647058823529
160	20	0.2	0	0.4	0	0.4	0.375	0.4	0.3	0.4	0.4	0.4	0.4	0.075
320	20	0.2	0	0.458333333333333	0.0138888888888889	0.458333333333333	0.458333333333333	0.458333333333333	0.333333333333333	0.458333333333333	0.458333333333333	0.458333333333333	0.458333333333333	0.25
20	40	0.2	0	0.428571428571429	0	0.428571428571429	0	0	0.285714285714286	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0
40	40	0.2	0	0.5	0	0.5	0.142857142857143	0.285714285714286	0.285714285714286	0.5	0.428571428571429	0.428571428571429	0.5	0
80	40	0.2	0	0.705882352941177	0	0.705882352941177	0.588235294117647	0.647058823529412	0.411764705882353	0.705882352941177	0.705882352941177	0.705882352941177	0.705882352941177	0
160	40	0.2	0	0.55	0	0.55	0.55	0.55	0.375	0.55	0.55	0.55	0.55	0.1
320	40	0.2	0	0.527777777777778	0.0416666666666667	0.527777777777778	0.513888888888889	0.527777777777778	0.347222222222222	0.527777777777778	0.527777777777778	0.527777777777778	0.527777777777778	0.166666666666667
20	80	0.2	0	0.714285714285714	0	0.714285714285714	0	0	0.428571428571429	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714	0
40	80	0.2	0	0.571428571428571	0	0.571428571428571	0.142857142857143	0.142857142857143	0.214285714285714	0.571428571428571	0.357142857142857	0.428571428571429	0.571428571428571	0
80	80	0.2	0	0.588235294117647	0	0.588235294117647	0.352941176470588	0.235294117647059	0.235294117647059	0.588235294117647	0.470588235294118	0.529411764705882	0.588235294117647	0
160	80	0.2	0	0.65	0	0.65	0.575	0.575	0.3	0.65	0.625	0.625	0.65	0.025
320	80	0.2	0	0.458333333333333	0.0138888888888889	0.458333333333333	0.416666666666667	0.444444444444444	0.277777777777778	0.458333333333333	0.444444444444444	0.444444444444444	0.458333333333333	0.0555555555555556
20	160	0.2	0	0.571428571428571	0	0.571428571428571	0	0	0.428571428571429	0.571428571428571	0.428571428571429	0.428571428571429	0.571428571428571	0
40	160	0.2	0	0.5	0.0714285714285714	0.5	0.142857142857143	0.0714285714285714	0.142857142857143	0.357142857142857	0.214285714285714	0.214285714285714	0.5	0.0714285714285714
80	160	0.2	0	0.470588235294118	0	0.470588235294118	0.176470588235294	0.0588235294117647	0.235294117647059	0.470588235294118	0.411764705882353	0.411764705882353	0.470588235294118	0
160	160	0.2	0	0.55	0	0.55	0.375	0.275	0.275	0.55	0.475	0.475	0.55	0
320	160	0.2	0	0.458333333333333	0.0138888888888889	0.458333333333333	0.402777777777778	0.375	0.333333333333333	0.458333333333333	0.430555555555556	0.430555555555556	0.458333333333333	0.0416666666666667
20	320	0.2	0	0.285714285714286	0	0.285714285714286	0	0	0	0.142857142857143	0	0.142857142857143	0.285714285714286	0
40	320	0.2	0	0.5	0	0.5	0.142857142857143	0	0.214285714285714	0.428571428571429	0.214285714285714	0.285714285714286	0.5	0
80	320	0.2	0	0.588235294117647	0.0588235294117647	0.588235294117647	0.176470588235294	0.0588235294117647	0.176470588235294	0.588235294117647	0.411764705882353	0.411764705882353	0.588235294117647	0.0588235294117647
160	320	0.2	0	0.425	0.1	0.425	0.25	0.1	0.25	0.425	0.35	0.35	0.425	0.1
320	320	0.2	0	0.486111111111111	0.0416666666666667	0.486111111111111	0.416666666666667	0.222222222222222	0.236111111111111	0.444444444444444	0.347222222222222	0.347222222222222	0.486111111111111	0.0416666666666667
20	20	0.5	0	0.58974358974359	0.0256410256410256	0.58974358974359	0.461538461538462	0.307692307692308	0.333333333333333	0.58974358974359	0.564102564102564	0.564102564102564	0.58974358974359	0.0256410256410256
40	20	0.5	0	0.477272727272727	0.0227272727272727	0.477272727272727	0.431818181818182	0.386363636363636	0.272727272727273	0.477272727272727	0.477272727272727	0.477272727272727	0.477272727272727	0.0227272727272727
80	20	0.5	0	0.5	0.0113636363636364	0.5	0.5	0.443181818181818	0.284090909090909	0.5	0.454545454545455	0.477272727272727	0.5	0.0568181818181818
160	20	0.5	0	0.494845360824742	0.0309278350515464	0.494845360824742	0.494845360824742	0.494845360824742	0.237113402061856	0.494845360824742	0.494845360824742	0.494845360824742	0.494845360824742	0.0721649484536082
320	20	0.5	0	0.49	0.03	0.49	0.49	0.49	0.16	0.49	0.49	0.49	0.49	0.05
20	40	0.5	0	0.512820512820513	0.0256410256410256	0.512820512820513	0.256410256410256	0.0769230769230769	0.307692307692308	0.512820512820513	0.41025641025641	0.435897435897436	0.512820512820513	0.0256410256410256
40	40	0.5	0	0.522727272727273	0.0227272727272727	0.522727272727273	0.386363636363636	0.181818181818182	0.181818181818182	0.477272727272727	0.386363636363636	0.386363636363636	0.522727272727273	0.0227272727272727
80	40	0.5	0	0.465909090909091	0.0340909090909091	0.465909090909091	0.431818181818182	0.352272727272727	0.227272727272727	0.454545454545455	0.375	0.375	0.465909090909091	0.0340909090909091
160	40	0.5	0	0.45360824742268	0.0309278350515464	0.45360824742268	0.443298969072165	0.319587628865979	0.11340206185567	0.45360824742268	0.391752577319588	0.391752577319588	0.45360824742268	0.0412371134020619
320	40	0.5	0	0.46	0.03	0.46	0.46	0.29	0.05	0.44	0.32	0.32	0.46	0.03
20	80	0.5	0	0.461538461538462	0.0256410256410256	0.461538461538462	0.0769230769230769	0.0256410256410256	0.153846153846154	0.384615384615385	0.205128205128205	0.230769230769231	0.461538461538462	0.0256410256410256
40	80	0.5	0	0.5	0	0.5	0.227272727272727	0.0454545454545455	0.136363636363636	0.477272727272727	0.204545454545455	0.204545454545455	0.5	0
80	80	0.5	0	0.534090909090909	0.0227272727272727	0.534090909090909	0.5	0.0795454545454545	0.0795454545454545	0.431818181818182	0.261363636363636	0.261363636363636	0.534090909090909	0.0227272727272727
