n2	near	d1	prop.true	rwfpr	rwfnr
150	0.1	0.8	0.05	0.502268332669737	0.000172063872462925
200	0.1	0.8	0.05	0.531272434909079	0
250	0.1	0.8	0.05	0.554827873777	0
300	0.1	0.8	0.05	0.578574307155194	0
350	0.1	0.8	0.05	0.603031952856725	0
400	0.1	0.8	0.05	0.626717046810797	0
450	0.1	0.8	0.05	0.646891771875288	0
500	0.1	0.8	0.05	0.663309329288253	1.04078775454363e-05
50	0.1	0.9	0.05	0.416512319199085	0.000330201195286378
100	0.1	0.9	0.05	0.464000525864902	0.000167935546537309
150	0.1	0.9	0.05	0.501738593126924	5.45697149933442e-05
200	0.1	0.9	0.05	0.531272434909079	0
250	0.1	0.9	0.05	0.554827873777	0
300	0.1	0.9	0.05	0.578574307155194	0
350	0.1	0.9	0.05	0.603031952856725	0
400	0.1	0.9	0.05	0.626717046810797	0
450	0.1	0.9	0.05	0.646891771875288	0
500	0.1	0.9	0.05	0.663282590739379	3.37871152810002e-06
50	0.1	1	0.05	0.415635190773104	0.000133747233773245
100	0.1	1	0.05	0.463548328667256	6.7917946352368e-05
150	0.1	1	0.05	0.50159192570124	2.19906968906039e-05
200	0.1	1	0.05	0.531272434909079	0
250	0.1	1	0.05	0.554827873777	0
300	0.1	1	0.05	0.578574307155194	0
350	0.1	1	0.05	0.603031952856725	0
400	0.1	1	0.05	0.626717046810797	0
450	0.1	1	0.05	0.646891771875288	0
500	0.1	1	0.05	0.663274954762768	1.3712049005354e-06
50	0.3	0.1	0.05	0.890339321834301	0.044280790326534
100	0.3	0.1	0.05	0.891142599206579	0.0412880482131748
150	0.3	0.1	0.05	0.892603557183261	0.038456380630529
200	0.3	0.1	0.05	0.895090822900752	0.0361805918900481
250	0.3	0.1	0.05	0.898130636520147	0.0345538431368101
300	0.3	0.1	0.05	0.90098048354553	0.0334073441557247
350	0.3	0.1	0.05	0.903276354842519	0.0325546654036124
400	0.3	0.1	0.05	0.905115936290539	0.0318941313406832
450	0.3	0.1	0.05	0.906486318433934	0.0313102817784564
500	0.3	0.1	0.05	0.907286679201081	0.0306666274069435
50	0.3	0.2	0.05	0.834230805863212	0.0380788171942388
100	0.3	0.2	0.05	0.848442619868618	0.034092646504676
150	0.3	0.2	0.05	0.85738295805988	0.0304460416137892
200	0.3	0.2	0.05	0.864805162875078	0.0276101404683598
250	0.3	0.2	0.05	0.871376314238129	0.0256451318344219
300	0.3	0.2	0.05	0.876907350061621	0.02434117593678
350	0.3	0.2	0.05	0.881267977323578	0.0234488758620141
400	0.3	0.2	0.05	0.884538772333885	0.0227232002945558
450	0.3	0.2	0.05	0.886894147941999	0.0220310342483545
500	0.3	0.2	0.05	0.888592518645659	0.0213474813742681
50	0.3	0.3	0.05	0.793710542444644	0.0329952913303248
100	0.3	0.3	0.05	0.819991153930413	0.0288144673368699
150	0.3	0.3	0.05	0.835297093000259	0.0250032665603105
200	0.3	0.3	0.05	0.846580539480006	0.0220774953506359
250	0.3	0.3	0.05	0.855740695957058	0.0200990350691175
300	0.3	0.3	0.05	0.863141796119848	0.0188481606266626
350	0.3	0.3	0.05	0.868787108474688	0.0179992453024404
400	0.3	0.3	0.05	0.872992864990333	0.0173076296337932
450	0.3	0.3	0.05	0.876053919962233	0.0166380674958886
500	0.3	0.3	0.05	0.878238755543394	0.0159343167929243
50	0.3	0.4	0.05	0.73819571263558	0.0250176638312532
100	0.3	0.4	0.05	0.777599179334759	0.0201094041749333
150	0.3	0.4	0.05	0.800498151630279	0.0156782065805634
200	0.3	0.4	0.05	0.81649301379749	0.012250221789016
250	0.3	0.4	0.05	0.828711268450109	0.00985446800326513
300	0.3	0.4	0.05	0.838197528652406	0.00826309133489046
350	0.3	0.4	0.05	0.845460126834638	0.00720580500929283
400	0.3	0.4	0.05	0.851068812243429	0.00644174872038447
450	0.3	0.4	0.05	0.855414020252159	0.00581540057316081
500	0.3	0.4	0.05	0.858771438041161	0.00522951691892976
50	0.3	0.5	0.05	0.690317346814208	0.016975868568633
100	0.3	0.5	0.05	0.743450244699779	0.0122431030990231
150	0.3	0.5	0.05	0.774483485023968	0.00802878522541949
200	0.3	0.5	0.05	0.795719582746159	0.00490468939314332
250	0.3	0.5	0.05	0.811680893443563	0.00293008207725167
300	0.3	0.5	0.05	0.823973203598401	0.00183041369210692
350	0.3	0.5	0.05	0.833350133799275	0.00126466631416049
400	0.3	0.5	0.05	0.840614791456492	0.000971571568548238
450	0.3	0.5	0.05	0.846309552300106	0.000794004073452179
500	0.3	0.5	0.05	0.850817700469657	0.000644767720672522
50	0.3	0.6	0.05	0.655904323676888	0.0103728518373246
100	0.3	0.6	0.05	0.721244305974349	0.00665248846553874
150	0.3	0.6	0.05	0.760063348469023	0.00350786326211407
200	0.3	0.6	0.05	0.786273780757424	0.00139815595245645
