n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
80	20	0.2	0	0.477064220183486	0.00917431192660551	0.435779816513761	0.477064220183486	0.477064220183486	0.394495412844037	0.477064220183486	0.477064220183486	0.477064220183486	0.477064220183486	0.0596330275229358
160	20	0.2	0	0.506787330316742	0.0203619909502262	0.490950226244344	0.506787330316742	0.506787330316742	0.3710407239819	0.506787330316742	0.506787330316742	0.506787330316742	0.506787330316742	0.167420814479638
320	20	0.2	0	0.507823613086771	0.0227596017069701	0.507823613086771	0.507823613086771	0.503556187766714	0.318634423897582	0.507823613086771	0.5049786628734	0.503556187766714	0.507823613086771	0.210526315789474
20	40	0.2	0	0.444444444444444	0.0505050505050505	0.242424242424242	0.444444444444444	0.101010101010101	0.222222222222222	0.444444444444444	0.343434343434343	0.353535353535354	0.444444444444444	0
40	40	0.2	0	0.586666666666667	0.0333333333333333	0.42	0.586666666666667	0.38	0.406666666666667	0.586666666666667	0.566666666666667	0.573333333333333	0.586666666666667	0.0266666666666667
80	40	0.2	0	0.504587155963303	0.0321100917431193	0.422018348623853	0.504587155963303	0.477064220183486	0.371559633027523	0.504587155963303	0.495412844036697	0.495412844036697	0.504587155963303	0.0642201834862385
160	40	0.2	0	0.538461538461538	0.0158371040723982	0.520361990950226	0.538461538461538	0.538461538461538	0.380090497737557	0.538461538461538	0.538461538461538	0.538461538461538	0.538461538461538	0.104072398190045
320	40	0.2	0	0.5049786628734	0.0213371266002845	0.502133712660028	0.5049786628734	0.502133712660028	0.34850640113798	0.503556187766714	0.503556187766714	0.502133712660028	0.5049786628734	0.160739687055477
20	80	0.2	0	0.474747474747475	0.0202020202020202	0.191919191919192	0.474747474747475	0.0101010101010101	0.232323232323232	0.454545454545455	0.272727272727273	0.313131313131313	0.474747474747475	0
40	80	0.2	0	0.533333333333333	0.02	0.24	0.533333333333333	0.08	0.3	0.533333333333333	0.46	0.48	0.533333333333333	0
80	80	0.2	0	0.509174311926605	0.036697247706422	0.357798165137615	0.509174311926605	0.256880733944954	0.270642201834862	0.509174311926605	0.481651376146789	0.486238532110092	0.509174311926605	0.0229357798165138
160	80	0.2	0	0.518099547511312	0.0158371040723982	0.463800904977376	0.518099547511312	0.475113122171946	0.312217194570136	0.518099547511312	0.502262443438914	0.504524886877828	0.518099547511312	0.0339366515837104
320	80	0.2	0	0.522048364153627	0.0312944523470839	0.514935988620199	0.522048364153627	0.510668563300142	0.290184921763869	0.522048364153627	0.519203413940256	0.519203413940256	0.522048364153627	0.0782361308677098
20	160	0.2	0	0.575757575757576	0.0505050505050505	0.101010101010101	0.575757575757576	0	0.232323232323232	0.515151515151515	0.272727272727273	0.323232323232323	0.575757575757576	0
40	160	0.2	0	0.546666666666667	0.0466666666666667	0.12	0.546666666666667	0	0.22	0.54	0.346666666666667	0.373333333333333	0.546666666666667	0
80	160	0.2	0	0.426605504587156	0.0321100917431193	0.261467889908257	0.426605504587156	0.0871559633027523	0.201834862385321	0.422018348623853	0.325688073394495	0.334862385321101	0.426605504587156	0
160	160	0.2	0	0.48868778280543	0.0271493212669683	0.384615384615385	0.48868778280543	0.260180995475113	0.260180995475113	0.484162895927602	0.420814479638009	0.423076923076923	0.48868778280543	0.00678733031674208
320	160	0.2	0	0.467994310099573	0.0227596017069701	0.438122332859175	0.467994310099573	0.375533428165007	0.240398293029872	0.465149359886202	0.436699857752489	0.436699857752489	0.467994310099573	0.0227596017069701
20	320	0.2	0	0.535353535353535	0.0202020202020202	0.0606060606060606	0.535353535353535	0	0.131313131313131	0.424242424242424	0.131313131313131	0.202020202020202	0.535353535353535	0
40	320	0.2	0	0.486666666666667	0.02	0.106666666666667	0.486666666666667	0	0.14	0.44	0.18	0.22	0.486666666666667	0
80	320	0.2	0	0.495412844036697	0.0137614678899083	0.160550458715596	0.495412844036697	0.00458715596330275	0.188073394495413	0.444954128440367	0.261467889908257	0.270642201834862	0.490825688073394	0
160	320	0.2	0	0.468325791855204	0.0180995475113122	0.260180995475113	0.468325791855204	0.0588235294117647	0.194570135746606	0.447963800904977	0.309954751131222	0.31447963800905	0.468325791855204	0
320	320	0.2	0	0.512091038406828	0.0184921763869132	0.438122332859175	0.512091038406828	0.170697012802276	0.172119487908962	0.500711237553343	0.38122332859175	0.38122332859175	0.512091038406828	0
20	20	0.5	0	0.505681818181818	0.0227272727272727	0.363636363636364	0.505681818181818	0.232954545454545	0.272727272727273	0.502840909090909	0.426136363636364	0.465909090909091	0.505681818181818	0.00284090909090909
40	20	0.5	0	0.513513513513513	0.0206677265500795	0.462639109697933	0.513513513513513	0.416534181240064	0.276629570747218	0.513513513513513	0.488076311605723	0.492845786963434	0.513513513513513	0.0333863275039746
