n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	80	0.2	0	0.097	0.0206185567010309	0.185567010309278	0.508	0.0103092783505155	0.288659793814433	0.463917525773196	0.319587628865979	0.350515463917526	0.474226804123711	0.0206185567010309	0
40	80	0.2	0	0.127	0.0078740157480315	0.21259842519685	0.499	0.0866141732283465	0.228346456692913	0.440944881889764	0.330708661417323	0.354330708661417	0.440944881889764	0.0078740157480315	0
80	80	0.2	0	0.249	0.00803212851405622	0.293172690763052	0.468	0.236947791164659	0.248995983935743	0.429718875502008	0.397590361445783	0.397590361445783	0.429718875502008	0.00803212851405622	0.00401606425702811
160	80	0.2	0	0.449	0.0289532293986637	0.461024498886414	0.475	0.434298440979955	0.34075723830735	0.494432071269488	0.478841870824053	0.478841870824053	0.494432071269488	0.0289532293986637	0.0400890868596882
320	80	0.2	0	0.697	0.0229555236728838	0.45480631276901	0.466	0.453371592539455	0.282639885222382	0.459110473457676	0.456241032998565	0.45480631276901	0.459110473457676	0.0229555236728838	0.0659971305595409
20	160	0.2	0	0.097	0.0206185567010309	0.103092783505155	0.469	0	0.195876288659794	0.381443298969072	0.22680412371134	0.268041237113402	0.422680412371134	0	0
40	160	0.2	0	0.127	0.015748031496063	0.196850393700787	0.492	0	0.236220472440945	0.543307086614173	0.322834645669291	0.37007874015748	0.566929133858268	0.015748031496063	0
80	160	0.2	0	0.249	0.0200803212851406	0.289156626506024	0.485	0.0803212851405622	0.261044176706827	0.469879518072289	0.401606425702811	0.409638554216867	0.48995983935743	0.0200803212851406	0
160	160	0.2	0	0.449	0.0311804008908686	0.387527839643653	0.502	0.244988864142539	0.251670378619154	0.478841870824053	0.412026726057906	0.416481069042316	0.483296213808463	0.0311804008908686	0.0089086859688196
320	160	0.2	0	0.697	0.024390243902439	0.466284074605452	0.489	0.371592539454806	0.242467718794835	0.48206599713056	0.440459110473458	0.443328550932568	0.483500717360115	0.024390243902439	0.03012912482066
20	320	0.2	0	0.097	0.0412371134020619	0.0721649484536082	0.506	0	0.164948453608247	0.443298969072165	0.164948453608247	0.216494845360825	0.536082474226804	0	0
40	320	0.2	0	0.127	0.031496062992126	0.125984251968504	0.509	0	0.149606299212598	0.488188976377953	0.196850393700787	0.236220472440945	0.590551181102362	0.0078740157480315	0
80	320	0.2	0	0.249	0.0160642570281124	0.156626506024096	0.526	0.00401606425702811	0.208835341365462	0.453815261044177	0.273092369477912	0.285140562248996	0.497991967871486	0.0160642570281124	0
160	320	0.2	0	0.449	0.022271714922049	0.307349665924276	0.521	0.0512249443207127	0.191536748329621	0.465478841870824	0.325167037861915	0.33184855233853	0.498886414253898	0.022271714922049	0
320	320	0.2	0	0.697	0.03012912482066	0.474892395982783	0.514	0.199426111908178	0.200860832137733	0.507890961262554	0.374461979913917	0.375896700143472	0.532281205164993	0.03012912482066	0.00717360114777618
20	20	0.5	0	0.374	0.0267379679144385	0.382352941176471	0.529	0.262032085561497	0.280748663101604	0.526737967914438	0.451871657754011	0.462566844919786	0.532085561497326	0.0267379679144385	0.0106951871657754
40	20	0.5	0	0.598	0.0284280936454849	0.48494983277592	0.525	0.439799331103679	0.290969899665552	0.521739130434783	0.486622073578595	0.498327759197324	0.525083612040134	0.0284280936454849	0.0384615384615385
80	20	0.5	0	0.889	0.0213723284589426	0.519685039370079	0.527	0.487064116985377	0.258717660292463	0.524184476940383	0.507311586051744	0.510686164229471	0.525309336332958	0.0213723284589426	0.0641169853768279
160	20	0.5	0	0.995	0.0231155778894472	0.528643216080402	0.527	0.514572864321608	0.208040201005025	0.528643216080402	0.521608040201005	0.525628140703518	0.528643216080402	0.0231155778894472	0.0743718592964824
320	20	0.5	0	1	0.023	0.527	0.527	0.524	0.137	0.527	0.525	0.525	0.527	0.023	0.066
20	40	0.5	0	0.374	0.0213903743315508	0.245989304812834	0.496	0.0508021390374332	0.224598930481283	0.449197860962567	0.304812834224599	0.328877005347594	0.473262032085562	0.0213903743315508	0
40	40	0.5	0	0.598	0.0250836120401338	0.406354515050167	0.488	0.214046822742475	0.22742474916388	0.479933110367893	0.38628762541806	0.403010033444816	0.491638795986622	0.0250836120401338	0.00501672240802676
80	40	0.5	0	0.889	0.0258717660292463	0.479190101237345	0.496	0.326209223847019	0.199100112485939	0.488188976377953	0.416197975253093	0.425196850393701	0.493813273340832	0.0258717660292463	0.0123734533183352
