n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	40	0.2	0	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0309278350515464	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0412371134020619	0
40	40	0.2	0	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.0393700787401575	0.015748031496063
80	40	0.2	0	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0120481927710843
160	40	0.2	0	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0089086859688196	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0200445434298441	0.0178173719376392
320	40	0.2	0	0.0315638450502152	0.0315638450502152	0.0315638450502152	0.0315638450502152	0.03012912482066	0.00286944045911047	0.03012912482066	0.03012912482066	0.03012912482066	0.0315638450502152	0.0315638450502152	0.0315638450502152
20	80	0.2	0	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0103092783505155	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0
40	80	0.2	0	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0
80	80	0.2	0	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00803212851405622	0.00401606425702811
160	80	0.2	0	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.0244988864142539	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.0289532293986637	0.022271714922049
320	80	0.2	0	0.0229555236728838	0.0229555236728838	0.0229555236728838	0.0229555236728838	0.0215208034433286	0.0114777618364419	0.0229555236728838	0.0229555236728838	0.0215208034433286	0.0229555236728838	0.0229555236728838	0.0229555236728838
20	160	0.2	0	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0	0
40	160	0.2	0	0.015748031496063	0.015748031496063	0.015748031496063	0.015748031496063	0	0.0078740157480315	0.015748031496063	0.015748031496063	0.015748031496063	0.015748031496063	0.015748031496063	0
80	160	0.2	0	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0160642570281124	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0.0200803212851406	0
160	160	0.2	0	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0311804008908686	0.0089086859688196
320	160	0.2	0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.0157819225251076
20	320	0.2	0	0.0412371134020619	0.0412371134020619	0.0412371134020619	0.0412371134020619	0	0.0309278350515464	0.0309278350515464	0.0309278350515464	0.0309278350515464	0.0412371134020619	0	0
40	320	0.2	0	0.031496062992126	0.031496062992126	0.031496062992126	0.031496062992126	0	0.031496062992126	0.031496062992126	0.031496062992126	0.031496062992126	0.031496062992126	0.0078740157480315	0
80	320	0.2	0	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.00401606425702811	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0
160	320	0.2	0	0.022271714922049	0.022271714922049	0.022271714922049	0.022271714922049	0.0178173719376392	0.0200445434298441	0.022271714922049	0.0200445434298441	0.0200445434298441	0.022271714922049	0.022271714922049	0
320	320	0.2	0	0.03012912482066	0.03012912482066	0.03012912482066	0.03012912482066	0.0286944045911047	0.0286944045911047	0.03012912482066	0.03012912482066	0.03012912482066	0.03012912482066	0.03012912482066	0.00717360114777618
20	20	0.5	0	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0267379679144385	0.0106951871657754
40	20	0.5	0	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0284280936454849	0.0217391304347826
