n1	n2	d1	d2	sig1	sig2	sdir
450	350	0	0	0.0489	0.065439672801636	0.5005
500	350	0	0	0.0511	0.0410958904109589	0.4928
20	400	0	0	0.0491	0.0590631364562118	0.5042
50	400	0	0	0.0498	0.0502008032128514	0.5037
100	400	0	0	0.0501	0.0538922155688623	0.502
150	400	0	0	0.0506	0.0553359683794466	0.502
200	400	0	0	0.0517	0.0618955512572534	0.4977
250	400	0	0	0.0489	0.0368098159509202	0.5074
300	400	0	0	0.0496	0.0362903225806452	0.4998
350	400	0	0	0.0504	0.0416666666666667	0.4936
400	400	0	0	0.0494	0.0445344129554656	0.5128
450	400	0	0	0.0489	0.0449897750511247	0.5035
500	400	0	0	0.0511	0.0645792563600783	0.503
20	450	0	0	0.0491	0.0488798370672098	0.4993
50	450	0	0	0.0498	0.0461847389558233	0.498
100	450	0	0	0.0501	0.0518962075848303	0.4997
150	450	0	0	0.0506	0.0355731225296443	0.4917
200	450	0	0	0.0517	0.0502901353965184	0.5034
250	450	0	0	0.0489	0.0470347648261759	0.4997
300	450	0	0	0.0496	0.0463709677419355	0.5029
350	450	0	0	0.0504	0.0634920634920635	0.5065
400	450	0	0	0.0494	0.0688259109311741	0.5089
450	450	0	0	0.0489	0.0552147239263804	0.497
500	450	0	0	0.0511	0.0547945205479452	0.5093
20	500	0	0	0.0491	0.0468431771894094	0.502
50	500	0	0	0.0498	0.0522088353413655	0.5091
100	500	0	0	0.0501	0.0399201596806387	0.5004
150	500	0	0	0.0506	0.0237154150197628	0.503
200	500	0	0	0.0517	0.0386847195357834	0.4997
250	500	0	0	0.0489	0.0470347648261759	0.4972
300	500	0	0	0.0496	0.0423387096774194	0.5054
350	500	0	0	0.0504	0.0496031746031746	0.5034
400	500	0	0	0.0494	0.0566801619433198	0.497
450	500	0	0	0.0489	0.065439672801636	0.5013
500	500	0	0	0.0511	0.060665362035225	0.5002
20	20	0.1	0	0.0595	0.0369747899159664	0.497
50	20	0.1	0	0.0776	0.0438144329896907	0.5028
100	20	0.1	0	0.1055	0.0625592417061611	0.5037
150	20	0.1	0	0.138	0.0543478260869565	0.4953
200	20	0.1	0	0.1679	0.0500297796307326	0.5103
250	20	0.1	0	0.2074	0.0496624879459981	0.5015
300	20	0.1	0	0.2253	0.0426098535286285	0.5109
350	20	0.1	0	0.2605	0.0529750479846449	0.5029
400	20	0.1	0	0.2881	0.0492884415133634	0.5059
450	20	0.1	0	0.3239	0.0515591231861686	0.5054
500	20	0.1	0	0.354	0.0483050847457627	0.5085
20	50	0.1	0	0.0595	0.0605042016806723	0.4981
50	50	0.1	0	0.0776	0.0567010309278351	0.5085
100	50	0.1	0	0.1055	0.0445497630331754	0.498
150	50	0.1	0	0.138	0.0521739130434783	0.5068
200	50	0.1	0	0.1679	0.0476474091721263	0.502
250	50	0.1	0	0.2074	0.0515911282545805	0.5064
300	50	0.1	0	0.2253	0.0532623169107856	0.5052
350	50	0.1	0	0.2605	0.0429942418426104	0.509
400	50	0.1	0	0.2881	0.0496355432141617	0.5008
450	50	0.1	0	0.3239	0.0429144797777092	0.5041
500	50	0.1	0	0.354	0.0488700564971751	0.5068
20	100	0.1	0	0.0595	0.0420168067226891	0.5022
50	100	0.1	0	0.0776	0.0347938144329897	0.4978
100	100	0.1	0	0.1055	0.0445497630331754	0.4953
150	100	0.1	0	0.138	0.0507246376811594	0.4979
200	100	0.1	0	0.1679	0.0506253722453842	0.5021
250	100	0.1	0	0.2074	0.0520732883317261	0.4931
300	100	0.1	0	0.2253	0.045716822015091	0.4915
350	100	0.1	0	0.2605	0.0499040307101727	0.4989
400	100	0.1	0	0.2881	0.0510239500173551	0.4979
450	100	0.1	0	0.3239	0.0481630132757024	0.4966
500	100	0.1	0	0.354	0.0457627118644068	0.4957
20	150	0.1	0	0.0595	0.0436974789915966	0.498
50	150	0.1	0	0.0776	0.0502577319587629	0.5048
100	150	0.1	0	0.1055	0.0464454976303318	0.4997
150	150	0.1	0	0.138	0.0478260869565217	0.4935
200	150	0.1	0	0.1679	0.0482430017867778	0.4941
250	150	0.1	0	0.2074	0.0549662487945998	0.4953
300	150	0.1	0	0.2253	0.0545938748335553	0.5035
350	150	0.1	0	0.2605	0.0560460652591171	0.4973
400	150	0.1	0	0.2881	0.0527594585213468	0.4949
450	150	0.1	0	0.3239	0.0503241741278172	0.4966
500	150	0.1	0	0.354	0.0485875706214689	0.4955
20	200	0.1	0	0.0595	0.0319327731092437	0.5147
50	200	0.1	0	0.0776	0.0438144329896907	0.5019
100	200	0.1	0	0.1055	0.0635071090047393	0.5026
150	200	0.1	0	0.138	0.0434782608695652	0.4984
200	200	0.1	0	0.1679	0.0512209648600357	0.4982
250	200	0.1	0	0.2074	0.0501446480231437	0.5038
300	200	0.1	0	0.2253	0.0528184642698624	0.504
350	200	0.1	0	0.2605	0.0491362763915547	0.5018
400	200	0.1	0	0.2881	0.0624783061437001	0.5044
450	200	0.1	0	0.3239	0.0487804878048781	0.5035
500	200	0.1	0	0.354	0.0559322033898305	0.5056
20	250	0.1	0	0.0595	0.0588235294117647	0.4962
50	250	0.1	0	0.0776	0.0438144329896907	0.4906
100	250	0.1	0	0.1055	0.0360189573459716	0.5033
150	250	0.1	0	0.138	0.0456521739130435	0.4953
200	250	0.1	0	0.1679	0.0553901131625968	0.4951
250	250	0.1	0	0.2074	0.0520732883317261	0.4951
300	250	0.1	0	0.2253	0.0474922325787838	0.4911
350	250	0.1	0	0.2605	0.0510556621880998	0.4959
400	250	0.1	0	0.2881	0.0513710517181534	0.4959
