n1	n2	d1	d2	sig1	sig2	sdir
500	400	0.1	0	0.354	0.0254237288135593	0.4975
20	450	0.1	0	0.0595	0.0151260504201681	0.4959
50	450	0.1	0	0.0776	0.0257731958762887	0.4949
100	450	0.1	0	0.1055	0.0180094786729858	0.5064
150	450	0.1	0	0.138	0.0202898550724638	0.4976
200	450	0.1	0	0.1679	0.026801667659321	0.499
250	450	0.1	0	0.2074	0.0207328833172613	0.505
300	450	0.1	0	0.2253	0.027075011096316	0.5064
350	450	0.1	0	0.2605	0.0238003838771593	0.5004
400	450	0.1	0	0.2881	0.023950017355085	0.504
450	450	0.1	0	0.3239	0.0231552948440877	0.4931
500	450	0.1	0	0.354	0.0259887005649717	0.5012
20	500	0.1	0	0.0595	0.0369747899159664	0.5078
50	500	0.1	0	0.0776	0.0244845360824742	0.502
100	500	0.1	0	0.1055	0.0218009478672986	0.5011
150	500	0.1	0	0.138	0.0311594202898551	0.5039
200	500	0.1	0	0.1679	0.0256104824300179	0.5047
250	500	0.1	0	0.2074	0.0202507232401157	0.4985
300	500	0.1	0	0.2253	0.0252996005326232	0.5033
350	500	0.1	0	0.2605	0.0268714011516315	0.5055
400	500	0.1	0	0.2881	0.0277681360638667	0.5015
450	500	0.1	0	0.3239	0.0246989811670269	0.4998
500	500	0.1	0	0.354	0.0228813559322034	0.5029
20	20	0.2	0	0.093	0.0311827956989247	0.5141
50	20	0.2	0	0.1703	0.0252495596007046	0.5066
100	20	0.2	0	0.2856	0.0252100840336134	0.5038
150	20	0.2	0	0.4114	0.0226057365094798	0.5056
200	20	0.2	0	0.5127	0.0241856836356544	0.5094
250	20	0.2	0	0.6025	0.0270539419087137	0.5078
300	20	0.2	0	0.6865	0.0256372906045157	0.507
350	20	0.2	0	0.742	0.0247978436657682	0.5085
400	20	0.2	0	0.8062	0.0248077400148846	0.5069
450	20	0.2	0	0.8499	0.0263560418872809	0.5074
500	20	0.2	0	0.8844	0.0243102668475803	0.5074
20	50	0.2	0	0.093	0.0258064516129032	0.492
50	50	0.2	0	0.1703	0.0240751614797416	0.5011
100	50	0.2	0	0.2856	0.0245098039215686	0.4997
150	50	0.2	0	0.4114	0.0247933884297521	0.5051
200	50	0.2	0	0.5127	0.02496586697874	0.5025
250	50	0.2	0	0.6025	0.0268879668049793	0.5051
300	50	0.2	0	0.6865	0.0249089584850692	0.5039
350	50	0.2	0	0.742	0.0233153638814016	0.503
400	50	0.2	0	0.8062	0.0238154304142893	0.5022
450	50	0.2	0	0.8499	0.0249441110718908	0.5029
500	50	0.2	0	0.8844	0.0238579828132067	0.5033
20	100	0.2	0	0.093	0.0311827956989247	0.4953
50	100	0.2	0	0.1703	0.0240751614797416	0.495
100	100	0.2	0	0.2856	0.0273109243697479	0.4986
150	100	0.2	0	0.4114	0.0245503159941663	0.496
200	100	0.2	0	0.5127	0.0243807294714258	0.4978
250	100	0.2	0	0.6025	0.0247302904564315	0.4964
300	100	0.2	0	0.6865	0.0240349599417334	0.4974
350	100	0.2	0	0.742	0.0238544474393531	0.4971
400	100	0.2	0	0.8062	0.0248077400148846	0.4969
450	100	0.2	0	0.8499	0.0255324155783033	0.4972
500	100	0.2	0	0.8844	0.0246494798733605	0.4966
20	150	0.2	0	0.093	0.0236559139784946	0.4941
50	150	0.2	0	0.1703	0.0246623605402231	0.5004
100	150	0.2	0	0.2856	0.0269607843137255	0.5006
150	150	0.2	0	0.4114	0.0286825473991249	0.496
200	150	0.2	0	0.5127	0.0276965086795397	0.4962
250	150	0.2	0	0.6025	0.0273858921161826	0.4954
300	150	0.2	0	0.6865	0.0282592862345229	0.4958
350	150	0.2	0	0.742	0.0269541778975741	0.4961
400	150	0.2	0	0.8062	0.0256760109154056	0.4959
450	150	0.2	0	0.8499	0.0262383809859984	0.4956
500	150	0.2	0	0.8844	0.0255540479421076	0.4958
20	200	0.2	0	0.093	0.0279569892473118	0.5082
50	200	0.2	0	0.1703	0.0252495596007046	0.4937
100	200	0.2	0	0.2856	0.0259103641456583	0.5037
150	200	0.2	0	0.4114	0.0238210986874088	0.5047
200	200	0.2	0	0.5127	0.023990637799883	0.5047
250	200	0.2	0	0.6025	0.0268879668049793	0.5023
300	200	0.2	0	0.6865	0.0273852876911872	0.5029
350	200	0.2	0	0.742	0.0283018867924528	0.5036
400	200	0.2	0	0.8062	0.0276606301165964	0.5034
450	200	0.2	0	0.8499	0.0271796681962584	0.5041
500	200	0.2	0	0.8844	0.0274762550881954	0.5043
20	250	0.2	0	0.093	0.0161290322580645	0.4867
50	250	0.2	0	0.1703	0.0205519671168526	0.4978
100	250	0.2	0	0.2856	0.0227591036414566	0.4944
150	250	0.2	0	0.4114	0.0252795333009237	0.4946
200	250	0.2	0	0.5127	0.025941096157597	0.4912
250	250	0.2	0	0.6025	0.0230705394190871	0.493
300	250	0.2	0	0.6865	0.0246176256372906	0.4928
350	250	0.2	0	0.742	0.026010781671159	0.4925
400	250	0.2	0	0.8062	0.0251798561151079	0.4939
450	250	0.2	0	0.8499	0.0257677373808683	0.4936
500	250	0.2	0	0.8844	0.0243102668475803	0.4938
20	300	0.2	0	0.093	0.0161290322580645	0.5115
50	300	0.2	0	0.1703	0.0258367586611861	0.5082
100	300	0.2	0	0.2856	0.0252100840336134	0.5032
150	300	0.2	0	0.4114	0.0228488089450656	0.5042
200	300	0.2	0	0.5127	0.0234055002925688	0.505
250	300	0.2	0	0.6025	0.0215767634854772	0.5044
300	300	0.2	0	0.6865	0.0259286234522942	0.5042
350	300	0.2	0	0.742	0.026010781671159	0.5051
400	300	0.2	0	0.8062	0.0249317787149591	0.5049
450	300	0.2	0	0.8499	0.0252970937757383	0.5044
500	300	0.2	0	0.8844	0.0257801899592944	0.505
20	350	0.2	0	0.093	0.0161290322580645	0.5041
50	350	0.2	0	0.1703	0.0252495596007046	0.4972
100	350	0.2	0	0.2856	0.0276610644257703	0.504
150	350	0.2	0	0.4114	0.0213903743315508	0.4966
200	350	0.2	0	0.5127	0.0232104544567973	0.4994
250	350	0.2	0	0.6025	0.0243983402489627	0.5
300	350	0.2	0	0.6865	0.0241806263656227	0.5
350	350	0.2	0	0.742	0.0256064690026954	0.4981
400	350	0.2	0	0.8062	0.0261721657157033	0.4995
450	350	0.2	0	0.8499	0.0249441110718908	0.4998
500	350	0.2	0	0.8844	0.0245364088647671	0.5
20	400	0.2	0	0.093	0.0376344086021505	0.5041
50	400	0.2	0	0.1703	0.0246623605402231	0.498
100	400	0.2	0	0.2856	0.0266106442577031	0.498
150	400	0.2	0	0.4114	0.0281964025279533	0.5008
200	400	0.2	0	0.5127	0.0237955919641116	0.5002
250	400	0.2	0	0.6025	0.0235684647302905	0.501
300	400	0.2	0	0.6865	0.0262199563000728	0.5018
350	400	0.2	0	0.742	0.0254716981132075	0.5013
400	400	0.2	0	0.8062	0.0260481270156289	0.5015
450	400	0.2	0	0.8499	0.0264737027885634	0.501
500	400	0.2	0	0.8844	0.0261194029850746	0.501
20	450	0.2	0	0.093	0.0247311827956989	0.4918
50	450	0.2	0	0.1703	0.0270111567821491	0.5067
100	450	0.2	0	0.2856	0.0234593837535014	0.4971
150	450	0.2	0	0.4114	0.0250364608653379	0.4985
200	450	0.2	0	0.5127	0.0232104544567973	0.5023
250	450	0.2	0	0.6025	0.0222406639004149	0.5011
300	450	0.2	0	0.6865	0.0240349599417334	0.4995
350	450	0.2	0	0.742	0.022911051212938	0.5012
400	450	0.2	0	0.8062	0.0219548499131729	0.5016
450	450	0.2	0	0.8499	0.0237675020590658	0.5015
500	450	0.2	0	0.8844	0.0240841248303935	0.5013
20	500	0.2	0	0.093	0.0139784946236559	0.4979
50	500	0.2	0	0.1703	0.0223135642982971	0.4966
100	500	0.2	0	0.2856	0.0252100840336134	0.501
150	500	0.2	0	0.4114	0.0228488089450656	0.5028
200	500	0.2	0	0.5127	0.0232104544567973	0.5014
250	500	0.2	0	0.6025	0.0222406639004149	0.5018
300	500	0.2	0	0.6865	0.0237436270939548	0.502
350	500	0.2	0	0.742	0.0234501347708895	0.5013
400	500	0.2	0	0.8062	0.0245596626147358	0.5015
450	500	0.2	0	0.8499	0.0230615366513707	0.5014
500	500	0.2	0	0.8844	0.0239710538218001	0.5016
20	20	0.3	0	0.1514	0.0284015852047556	0.5027
50	20	0.3	0	0.3215	0.0236391912908243	0.5056
100	20	0.3	0	0.5686	0.0255012310939149	0.5085
150	20	0.3	0	0.7384	0.0264084507042254	0.5077
200	20	0.3	0	0.8523	0.0244045523876569	0.5078
250	20	0.3	0	0.9167	0.0249809097850987	0.508
300	20	0.3	0	0.9565	0.0248823836905384	0.5077
350	20	0.3	0	0.9758	0.0248001639680262	0.5077
400	20	0.3	0	0.9885	0.0250885179564997	0.5077
450	20	0.3	0	0.9935	0.0249622546552592	0.5077
500	20	0.3	0	0.9963	0.0250928435210278	0.5078
20	50	0.3	0	0.1514	0.0224570673712021	0.4994
50	50	0.3	0	0.3215	0.0236391912908243	0.4987
100	50	0.3	0	0.5686	0.0244460077383046	0.5022
150	50	0.3	0	0.7384	0.0238353196099675	0.5042
200	50	0.3	0	0.8523	0.0233485861785756	0.5031
250	50	0.3	0	0.9167	0.0232355187084106	0.5033
300	50	0.3	0	0.9565	0.0240460010454783	0.5032
350	50	0.3	0	0.9758	0.0241852838696454	0.5032
400	50	0.3	0	0.9885	0.0241780475467881	0.5032
450	50	0.3	0	0.9935	0.024257674886764	0.5032
500	50	0.3	0	0.9963	0.0241895011542708	0.5033
20	100	0.3	0	0.1514	0.0244385733157199	0.5013
50	100	0.3	0	0.3215	0.0270606531881804	0.4974
100	100	0.3	0	0.5686	0.0267323250087935	0.4979
150	100	0.3	0	0.7384	0.0227518959913326	0.4971
200	100	0.3	0	0.8523	0.0246392115452306	0.497
250	100	0.3	0	0.9167	0.0248718228428057	0.4966
300	100	0.3	0	0.9565	0.0249869315211709	0.4969
350	100	0.3	0	0.9758	0.0251076040172166	0.4969
400	100	0.3	0	0.9885	0.0249873545776429	0.4969
450	100	0.3	0	0.9935	0.024861600402617	0.4969
500	100	0.3	0	0.9963	0.0247917293987755	0.4968
20	150	0.3	0	0.1514	0.0264200792602378	0.5017
