n1	n2	d1	d2	sig1	sig2	sdir
50	450	0	0	1	0.0461847389558233	0.514056224899598
100	450	0	0	1	0.0518962075848303	0.48502994011976
150	450	0	0	1	0.0355731225296443	0.50395256916996
200	450	0	0	1	0.0502901353965184	0.495164410058027
250	450	0	0	1	0.0470347648261759	0.501022494887526
300	450	0	0	1	0.0463709677419355	0.497983870967742
350	450	0	0	1	0.0634920634920635	0.51984126984127
400	450	0	0	1	0.0688259109311741	0.495951417004049
450	450	0	0	1	0.0552147239263804	0.466257668711656
500	450	0	0	1	0.0547945205479452	0.479452054794521
20	500	0	0	1	0.0468431771894094	0.523421588594705
50	500	0	0	1	0.0522088353413655	0.5
100	500	0	0	1	0.0399201596806387	0.465069860279441
150	500	0	0	1	0.0237154150197628	0.5
200	500	0	0	1	0.0386847195357834	0.504835589941973
250	500	0	0	1	0.0470347648261759	0.496932515337423
300	500	0	0	1	0.0423387096774194	0.524193548387097
350	500	0	0	1	0.0496031746031746	0.543650793650794
400	500	0	0	1	0.0566801619433198	0.455465587044534
450	500	0	0	1	0.065439672801636	0.492842535787321
500	500	0	0	1	0.060665362035225	0.469667318982387
20	20	0.1	0	1	0.0369747899159664	0.502521008403361
50	20	0.1	0	1	0.0438144329896907	0.521907216494845
100	20	0.1	0	1	0.0625592417061611	0.500473933649289
150	20	0.1	0	1	0.0543478260869565	0.501449275362319
200	20	0.1	0	1	0.0500297796307326	0.511018463371054
250	20	0.1	0	1	0.0496624879459981	0.524108003857281
300	20	0.1	0	1	0.0426098535286285	0.50554815801154
350	20	0.1	0	1	0.0529750479846449	0.512859884836852
400	20	0.1	0	1	0.0492884415133634	0.502950364456786
450	20	0.1	0	1	0.0515591231861686	0.50355047854276
500	20	0.1	0	1	0.0483050847457627	0.509604519774011
20	50	0.1	0	1	0.0605042016806723	0.492436974789916
50	50	0.1	0	1	0.0567010309278351	0.510309278350515
100	50	0.1	0	1	0.0445497630331754	0.509952606635071
150	50	0.1	0	1	0.0521739130434783	0.515217391304348
200	50	0.1	0	1	0.0476474091721263	0.504466944609887
250	50	0.1	0	1	0.0515911282545805	0.513018322082932
300	50	0.1	0	1	0.0532623169107856	0.514425210830004
350	50	0.1	0	1	0.0429942418426104	0.507101727447217
400	50	0.1	0	1	0.0496355432141617	0.506421381464769
450	50	0.1	0	1	0.0429144797777092	0.50355047854276
500	50	0.1	0	1	0.0488700564971751	0.488983050847458
20	100	0.1	0	1	0.0420168067226891	0.509243697478992
50	100	0.1	0	1	0.0347938144329897	0.520618556701031
100	100	0.1	0	1	0.0445497630331754	0.480568720379147
150	100	0.1	0	1	0.0507246376811594	0.486231884057971
200	100	0.1	0	1	0.0506253722453842	0.490172721858249
250	100	0.1	0	1	0.0520732883317261	0.48023143683703
300	100	0.1	0	1	0.045716822015091	0.495783399911229
350	100	0.1	0	1	0.0499040307101727	0.495201535508637
400	100	0.1	0	1	0.0510239500173551	0.500520652551197
450	100	0.1	0	1	0.0481630132757024	0.495523309663476
500	100	0.1	0	1	0.0457627118644068	0.50225988700565
20	150	0.1	0	1	0.0436974789915966	0.490756302521008
50	150	0.1	0	1	0.0502577319587629	0.474226804123711
100	150	0.1	0	1	0.0464454976303318	0.507109004739337
150	150	0.1	0	1	0.0478260869565217	0.476086956521739
200	150	0.1	0	1	0.0482430017867778	0.497319833234068
250	150	0.1	0	1	0.0549662487945998	0.489392478302797
300	150	0.1	0	1	0.0545938748335553	0.497558810474922
350	150	0.1	0	1	0.0560460652591171	0.494433781190019
400	150	0.1	0	1	0.0527594585213468	0.500520652551197
450	150	0.1	0	1	0.0503241741278172	0.488113615313368
500	150	0.1	0	1	0.0485875706214689	0.493220338983051
20	200	0.1	0	1	0.0319327731092437	0.505882352941176
50	200	0.1	0	1	0.0438144329896907	0.456185567010309
100	200	0.1	0	1	0.0635071090047393	0.525118483412322
150	200	0.1	0	1	0.0434782608695652	0.483333333333333
200	200	0.1	0	1	0.0512209648600357	0.512805241215009
250	200	0.1	0	1	0.0501446480231437	0.526036644165863
300	200	0.1	0	1	0.0528184642698624	0.513093652907235
350	200	0.1	0	1	0.0491362763915547	0.499424184261036
