n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
40	160	0.8	0	1	1	1	1	0.0384615384615385	0.269230769230769	0.653846153846154	0.307692307692308	0.384615384615385	1	1	0
80	160	0.8	0	1	1	1	1	0.0384615384615385	0.153846153846154	0.5	0.192307692307692	0.192307692307692	0.884615384615385	1	0
160	160	0.8	0	1	1	1	1	0	0	0.346153846153846	0	0	0.807692307692308	1	0
320	160	0.8	0	1	1	1	1	0	0	0	0	0	0.653846153846154	1	0
20	320	0.8	0	1	1	1	1	0	0.1875	0.625	0.0625	0.1875	1	0	0
40	320	0.8	0	1	1	1	1	0	0.04	0.36	0.08	0.16	0.92	0.16	0
80	320	0.8	0	1	1	1	1	0	0	0.12	0	0	0.6	1	0
160	320	0.8	0	1	1	1	1	0	0	0	0	0	0.24	1	0
320	320	0.8	0	1	1	1	1	0	0	0	0	0	0.04	1	0
20	20	1	0	1	1	1	1	0.875	0.875	1	0.875	0.9375	1	1	0.375
40	20	1	0	1	1	1	1	0.91304347826087	0.826086956521739	1	1	1	1	1	0.260869565217391
80	20	1	0	1	1	1	1	0.956521739130435	0.608695652173913	1	1	1	1	1	0.0869565217391304
160	20	1	0	1	1	1	1	1	0.434782608695652	1	1	1	1	1	0.173913043478261
320	20	1	0	1	1	1	1	1	0.260869565217391	1	1	1	1	1	0
20	40	1	0	1	1	1	1	0.291666666666667	0.5	0.916666666666667	0.75	0.75	0.958333333333333	1	0
40	40	1	0	1	1	1	1	0.44	0.44	0.92	0.68	0.8	1	1	0
80	40	1	0	1	1	1	1	0.5	0.230769230769231	0.923076923076923	0.692307692307692	0.730769230769231	1	1	0
160	40	1	0	1	1	1	1	0.346153846153846	0	0.961538461538462	0.730769230769231	0.730769230769231	1	1	0
320	40	1	0	1	1	1	1	0.423076923076923	0	0.923076923076923	0.538461538461538	0.576923076923077	1	1	0
20	80	1	0	1	1	1	1	0.166666666666667	0.611111111111111	0.888888888888889	0.611111111111111	0.611111111111111	1	1	0
40	80	1	0	1	1	1	1	0.166666666666667	0.388888888888889	0.777777777777778	0.5	0.5	0.944444444444444	1	0
80	80	1	0	1	1	1	1	0.15	0.15	0.85	0.3	0.45	1	1	0
160	80	1	0	1	1	1	1	0	0	0.4	0.05	0.1	0.95	1	0
320	80	1	0	1	1	1	1	0	0	0.1	0	0	0.85	1	0
20	160	1	0	1	1	1	1	0	0.32	0.64	0.32	0.4	0.92	0.08	0
40	160	1	0	1	1	1	1	0	0.0769230769230769	0.346153846153846	0.115384615384615	0.115384615384615	0.846153846153846	1	0
80	160	1	0	1	1	1	1	0	0	0.115384615384615	0	0	0.576923076923077	1	0
160	160	1	0	1	1	1	1	0	0	0	0	0	0.153846153846154	1	0
320	160	1	0	1	1	1	1	0	0	0	0	0	0.0384615384615385	1	0
20	320	1	0	1	1	1	1	0	0.25	0.458333333333333	0.25	0.291666666666667	1	0	0
40	320	1	0	1	1	1	1	0	0.04	0.32	0.08	0.12	0.88	0.16	0
80	320	1	0	1	1	1	1	0	0	0	0	0	0.2	1	0
160	320	1	0	1	1	1	1	0	0	0	0	0	0.04	1	0
320	320	1	0	1	1	1	1	0	0	0	0	0	0	1	0
20	20	0	0.2	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
80	20	0	0.2	1	1	1	1	1	0	1	1	1	1	1	1
160	20	0	0.2	1	1	1	1	1	0	1	1	1	1	1	1
320	20	0	0.2	1	1	1	1	1	0	1	1	1	1	1	1
20	40	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0
40	40	0	0.2	1	1	1	1	1	1	1	1	1	1	1	1
80	40	0	0.2	1	1	1	1	1	1	1	1	1	1	1	1
160	40	0	0.2	1	1	1	1	1	0.5	1	1	1	1	1	1
320	40	0	0.2	1	1	1	1	1	0	1	1	1	1	1	1
20	80	0	0.2	1	1	1	1	0.5	1	1	1	1	1	1	0
40	80	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.285714285714286
80	80	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.25
160	80	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.833333333333333
320	80	0	0.2	1	1	1	1	1	0.2	1	1	1	1	1	1
20	160	0	0.2	1	1	1	1	0	0.8	1	0.8	0.9	1	0.3	0
40	160	0	0.2	1	1	1	1	0.615384615384615	1	1	1	1	1	1	0
80	160	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.125
160	160	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.533333333333333
320	160	0	0.2	1	1	1	1	0.888888888888889	0.555555555555556	1	1	1	1	1	1
20	320	0	0.2	1	1	1	1	0	0.75	1	0.75	0.75	1	0	0
40	320	0	0.2	1	1	1	1	0	1	1	1	1	1	0.666666666666667	0
80	320	0	0.2	1	1	1	1	0.466666666666667	0.933333333333333	1	1	1	1	1	0
160	320	0	0.2	1	1	1	1	1	1	1	1	1	1	1	0.3125
320	320	0	0.2	1	1	1	1	0.8125	0.8125	1	1	1	1	1	0.875
20	20	0.2	0.2	1	1	1	1	1	1	1	1	1	1	1	0.375
40	20	0.2	0.2	1	1	1	1	1	1	1	1	1	1	1	1
80	20	0.2	0.2	1	1	1	1	0.923076923076923	0.384615384615385	1	1	1	1	1	1
160	20	0.2	0.2	1	1	1	1	0.902439024390244	0.024390243902439	1	0.926829268292683	0.902439024390244	1	1	1
320	20	0.2	0.2	1	1	1	1	0.857142857142857	0	0.968253968253968	0.904761904761905	0.841269841269841	1	1	1
20	40	0.2	0.2	1	1	1	1	0.9	1	1	1	1	1	1	0.3
40	40	0.2	0.2	1	1	1	1	1	1	1	1	1	1	1	0.625
80	40	0.2	0.2	1	1	1	1	0.964285714285714	0.857142857142857	1	1	1	1	1	0.928571428571429
160	40	0.2	0.2	1	1	1	1	0.934782608695652	0.41304347826087	1	1	0.934782608695652	1	1	0.978260869565217
320	40	0.2	0.2	1	1	1	1	0.869047619047619	0.0595238095238095	0.988095238095238	0.904761904761905	0.892857142857143	1	1	1
20	80	0.2	0.2	1	1	1	1	0.222222222222222	0.962962962962963	1	0.962962962962963	0.962962962962963	1	1	0
40	80	0.2	0.2	1	1	1	1	0.9375	1	1	1	1	1	1	0.0625
80	80	0.2	0.2	1	1	1	1	1	1	1	1	1	1	1	0.484848484848485
160	80	0.2	0.2	1	1	1	1	0.981981981981982	0.873873873873874	1	1	1	1	1	0.864864864864865
320	80	0.2	0.2	1	1	1	1	0.938888888888889	0.45	0.994444444444444	0.955555555555556	0.955555555555556	1	1	0.977777777777778
20	160	0.2	0.2	1	1	1	1	0	0.897435897435897	1	0.897435897435897	0.974358974358974	1	0.384615384615385	0
40	160	0.2	0.2	1	1	1	1	0.310344827586207	0.96551724137931	1	0.982758620689655	0.982758620689655	1	1	0
80	160	0.2	0.2	1	1	1	1	0.87603305785124	0.966942148760331	1	0.991735537190083	0.991735537190083	1	1	0.140495867768595
160	160	0.2	0.2	1	1	1	1	0.983516483516483	0.983516483516483	1	0.994505494505495	0.994505494505495	1	1	0.461538461538462
320	160	0.2	0.2	1	1	1	1	0.972477064220184	0.871559633027523	1	0.987767584097859	0.987767584097859	1	1	0.776758409785933
20	320	0.2	0.2	1	1	1	1	0	0.775510204081633	0.959183673469388	0.73469387755102	0.795918367346939	1	0.0204081632653061	0
40	320	0.2	0.2	1	1	1	1	0.0253164556962025	0.822784810126582	0.987341772151899	0.835443037974684	0.873417721518987	1	0.493670886075949	0
80	320	0.2	0.2	1	1	1	1	0.440677966101695	0.949152542372881	1	0.971751412429379	0.971751412429379	1	1	0.0169491525423729
160	320	0.2	0.2	1	1	1	1	0.87741935483871	0.964516129032258	1	0.987096774193548	0.993548387096774	1	1	0.203225806451613
320	320	0.2	0.2	1	1	1	1	0.933333333333333	0.933333333333333	1	0.989583333333333	0.989583333333333	1	1	0.477083333333333
20	20	0.5	0.2	1	1	1	1	1	1	1	1	1	1	1	0.368421052631579
40	20	0.5	0.2	1	1	1	1	1	1	1	1	1	1	1	0.709677419354839
80	20	0.5	0.2	1	1	1	1	0.9875	0.7	1	1	0.9875	1	1	0.9125
