n1	n2	d1	d2	type	m	sig1	sig2	sdir
250	200	0	0	big2	489	489	28	261
250	200	0	0	s2or	261	261	15	261
300	200	0	0	raw	10000	496	517	5077
300	200	0	0	sig1	496	496	18	260
300	200	0	0	bsln	260	260	5	260
300	200	0	0	sig2	10000	496	517	5077
300	200	0	0	big2	496	496	18	260
300	200	0	0	s2or	260	260	5	260
350	200	0	0	raw	10000	504	517	5077
350	200	0	0	sig1	504	504	25	244
350	200	0	0	bsln	244	244	13	244
350	200	0	0	sig2	10000	504	517	5077
350	200	0	0	big2	504	504	25	244
350	200	0	0	s2or	244	244	13	244
400	200	0	0	raw	10000	494	517	4911
400	200	0	0	sig1	494	494	27	257
400	200	0	0	bsln	257	257	18	257
400	200	0	0	sig2	10000	494	517	4911
400	200	0	0	big2	494	494	27	257
400	200	0	0	s2or	257	257	18	257
450	200	0	0	raw	10000	489	517	4952
450	200	0	0	sig1	489	489	19	244
450	200	0	0	bsln	244	244	9	244
450	200	0	0	sig2	10000	489	517	4952
450	200	0	0	big2	489	489	19	244
450	200	0	0	s2or	244	244	9	244
500	200	0	0	raw	10000	511	517	5073
500	200	0	0	sig1	511	511	16	260
500	200	0	0	bsln	260	260	9	260
500	200	0	0	sig2	10000	511	517	5073
500	200	0	0	big2	511	511	16	260
500	200	0	0	s2or	260	260	9	260
20	250	0	0	raw	10000	491	489	5016
20	250	0	0	sig1	491	491	22	255
20	250	0	0	bsln	255	255	9	255
20	250	0	0	sig2	10000	491	489	5016
20	250	0	0	big2	491	491	22	255
20	250	0	0	s2or	255	255	9	255
50	250	0	0	raw	10000	498	489	4987
50	250	0	0	sig1	498	498	25	235
50	250	0	0	bsln	235	235	10	235
50	250	0	0	sig2	10000	498	489	4987
50	250	0	0	big2	498	498	25	235
50	250	0	0	s2or	235	235	10	235
100	250	0	0	raw	10000	501	489	5028
100	250	0	0	sig1	501	501	23	255
100	250	0	0	bsln	255	255	12	255
100	250	0	0	sig2	10000	501	489	5028
100	250	0	0	big2	501	501	23	255
100	250	0	0	s2or	255	255	12	255
150	250	0	0	raw	10000	506	489	4910
150	250	0	0	sig1	506	506	31	243
150	250	0	0	bsln	243	243	18	243
150	250	0	0	sig2	10000	506	489	4910
150	250	0	0	big2	506	506	31	243
150	250	0	0	s2or	243	243	18	243
200	250	0	0	raw	10000	517	489	4847
200	250	0	0	sig1	517	517	29	258
200	250	0	0	bsln	258	258	15	258
200	250	0	0	sig2	10000	517	489	4847
200	250	0	0	big2	517	517	29	258
200	250	0	0	s2or	258	258	15	258
250	250	0	0	raw	10000	489	489	4972
250	250	0	0	sig1	489	489	27	260
250	250	0	0	bsln	260	260	14	260
250	250	0	0	sig2	10000	489	489	4972
250	250	0	0	big2	489	489	27	260
250	250	0	0	s2or	260	260	14	260
300	250	0	0	raw	10000	496	489	5076
300	250	0	0	sig1	496	496	22	245
300	250	0	0	bsln	245	245	10	245
