n2	near	d1	prop.true	rwfpr	rwfnr
450	0.3	0.4	0.05	0.884261719367624	0.00607958321576372
500	0.3	0.4	0.05	0.892536279888859	0.00598155679696072
50	0.3	0.5	0.05	0.783180187544774	0.0184526057470887
100	0.3	0.5	0.05	0.827083295445467	0.0139643330927774
150	0.3	0.5	0.05	0.848636562313281	0.00997250785018238
200	0.3	0.5	0.05	0.857227136480895	0.00694808554361741
250	0.3	0.5	0.05	0.859057533692596	0.00490094705983568
300	0.3	0.5	0.05	0.861622542787198	0.00380383152597648
350	0.3	0.5	0.05	0.866332867137328	0.00328314518140852
400	0.3	0.5	0.05	0.872878218968725	0.00304447629668185
450	0.3	0.5	0.05	0.880130213395087	0.00295260128630176
500	0.3	0.5	0.05	0.889029012921243	0.00296853206103762
50	0.3	0.6	0.05	0.741037905721479	0.00778171398755663
100	0.3	0.6	0.05	0.803904753237329	0.00555846769744162
150	0.3	0.6	0.05	0.834789833543687	0.00344498557234833
200	0.3	0.6	0.05	0.847652898578011	0.00171555255031103
250	0.3	0.6	0.05	0.851645329284165	0.000587404063132406
300	0.3	0.6	0.05	0.855457875634965	3.71463254352043e-05
350	0.3	0.6	0.05	0.861268676678722	0
400	0.3	0.6	0.05	0.868535213363641	0
450	0.3	0.6	0.05	0.876287788696467	0
500	0.3	0.6	0.05	0.885620819347876	0
50	0.3	0.7	0.05	0.736238024357643	0.00647305951707591
100	0.3	0.7	0.05	0.799171241158329	0.00376349009210131
150	0.3	0.7	0.05	0.830831544350848	0.00152274215466473
200	0.3	0.7	0.05	0.844886675170827	0.000171201060500029
250	0.3	0.7	0.05	0.85065073594478	0
300	0.3	0.7	0.05	0.855397749666633	0
350	0.3	0.7	0.05	0.861268676678722	0
400	0.3	0.7	0.05	0.868535213363641	0
450	0.3	0.7	0.05	0.876287788696467	0
500	0.3	0.7	0.05	0.885709592621327	7.78362026680019e-05
50	0.3	0.8	0.05	0.724902962973424	0.00329957538101034
100	0.3	0.8	0.05	0.794269025942868	0.00187501804953119
150	0.3	0.8	0.05	0.829174829114907	0.000710529405837482
200	0.3	0.8	0.05	0.844633834849807	2.92993013481472e-05
250	0.3	0.8	0.05	0.85065073594478	0
300	0.3	0.8	0.05	0.855397749666633	0
350	0.3	0.8	0.05	0.861268676678722	0
400	0.3	0.8	0.05	0.868535213363641	0
450	0.3	0.8	0.05	0.876287788696467	0
500	0.3	0.8	0.05	0.885670429724337	4.35016814565466e-05
50	0.3	0.9	0.05	0.718185205234368	0.00136160473676064
100	0.3	0.9	0.05	0.791487943192084	0.000790037524310878
150	0.3	0.9	0.05	0.828367327658179	0.00031298912695341
200	0.3	0.9	0.05	0.844628762115833	2.64510454935044e-05
250	0.3	0.9	0.05	0.85065073594478	0
300	0.3	0.9	0.05	0.855397749666633	0
350	0.3	0.9	0.05	0.861268676678722	0
400	0.3	0.9	0.05	0.868535213363641	0
450	0.3	0.9	0.05	0.876287788696467	0
500	0.3	0.9	0.05	0.885640510421914	1.72674811873933e-05
50	0.3	1	0.05	0.717116789029079	0.00104933298075163
100	0.3	1	0.05	0.790977142711675	0.000589672492844393
150	0.3	1	0.05	0.828175421191805	0.000218351235716211
200	0.3	1	0.05	0.844589081608379	4.16935924712605e-06
250	0.3	1	0.05	0.85065073594478	0
300	0.3	1	0.05	0.855397749666633	0
350	0.3	1	0.05	0.861268676678722	0
400	0.3	1	0.05	0.868535213363641	0
