near	d1	n2	fpr	fnr
0.3	0.1	150	0.112157786242038	0.641290703563216
0.3	0.1	200	0.136514344906232	0.571124485485819
0.3	0.1	250	0.156483919196604	0.516579434492679
0.3	0.1	300	0.177489131804024	0.476665285984457
0.3	0.1	350	0.19999760366312	0.447418091129007
0.3	0.1	400	0.224521192511925	0.428311417687504
0.3	0.1	450	0.249271010482605	0.418933628454052
0.3	0.1	500	0.273235766560846	0.413026139560823
0.3	0.2	50	0.0706422598100722	0.685385418325135
0.3	0.2	100	0.0888403878710975	0.594888237021274
0.3	0.2	150	0.112157786242038	0.514012816959967
0.3	0.2	200	0.136514344906232	0.445670888057951
0.3	0.2	250	0.156483919196604	0.391373319928257
0.3	0.2	300	0.177489131804024	0.35175886193637
0.3	0.2	350	0.19999760366312	0.325025760355563
0.3	0.2	400	0.224521192511925	0.308182713342182
0.3	0.2	450	0.249271010482605	0.296601050717022
0.3	0.2	500	0.273235766560846	0.285747167550895
0.3	0.3	50	0.0706422598100722	0.585357498395551
0.3	0.3	100	0.0888403878710975	0.495033051503625
0.3	0.3	150	0.112157786242038	0.415276528981164
0.3	0.3	200	0.136514344906232	0.354435998657748
0.3	0.3	250	0.156483919196604	0.31243635525221
0.3	0.3	300	0.177489131804024	0.284979861599115
0.3	0.3	350	0.19999760366312	0.265406520522954
0.3	0.3	400	0.224521192511925	0.247005719825626
0.3	0.3	450	0.249271010482605	0.227762403859333
0.3	0.3	500	0.273235766560846	0.207623551289841
0.3	0.4	50	0.0706422598100722	0.447534581885242
0.3	0.4	100	0.0888403878710975	0.346166226955693
0.3	0.4	150	0.112157786242038	0.258723467023215
0.3	0.4	200	0.136514344906232	0.193183947593813
0.3	0.4	250	0.156483919196604	0.149145919175988
0.3	0.4	300	0.177489131804024	0.12042522266861
0.3	0.4	350	0.19999760366312	0.101302351262636
0.3	0.4	400	0.224521192511925	0.0885784163391262
0.3	0.4	450	0.249271010482605	0.0796701531195523
0.3	0.4	500	0.273235766560846	0.0727076624914999
0.3	0.5	50	0.0706422598100722	0.296671272970662
0.3	0.5	100	0.0888403878710975	0.203034874565371
0.3	0.5	150	0.112157786242038	0.12703908239598
0.3	0.5	200	0.136514344906232	0.0753703112514001
0.3	0.5	250	0.156483919196604	0.0443537166522185
0.3	0.5	300	0.177489131804024	0.0270110913638873
0.3	0.5	350	0.19999760366312	0.0176582560319398
0.3	0.5	400	0.224521192511925	0.0125336804858137
0.3	0.5	450	0.249271010482605	0.00914077923188808
0.3	0.5	500	0.273235766560846	0.00606223322878423
0.3	0.6	50	0.0706422598100722	0.190477185587206
0.3	0.6	100	0.0888403878710975	0.117286129236201
0.3	0.6	150	0.112157786242038	0.0598789042472646
0.3	0.6	200	0.136514344906232	0.0239354423027121
0.3	0.6	250	0.156483919196604	0.00598067141468525
0.3	0.6	300	0.177489131804024	0
0.3	0.6	350	0.19999760366312	0
0.3	0.6	400	0.224521192511925	0
0.3	0.6	450	0.249271010482605	0.00164467824797698
0.3	0.6	500	0.273235766560846	0.00322743858124133
0.3	0.7	50	0.0706422598100722	0.0960822736480247
0.3	0.7	100	0.0888403878710975	0.0541334135557501
0.3	0.7	150	0.112157786242038	0.0228002108895565
0.3	0.7	200	0.136514344906232	0.00483798373085597
0.3	0.7	250	0.156483919196604	0
0.3	0.7	300	0.177489131804024	0
0.3	0.7	350	0.19999760366312	0
0.3	0.7	400	0.224521192511925	0
0.3	0.7	450	0.249271010482605	0
0.3	0.7	500	0.273235766560846	0.000633731599058256
0.3	0.8	50	0.0706422598100722	0.0557707293836246
0.3	0.8	100	0.0888403878710975	0.0293019882503041
0.3	0.8	150	0.112157786242038	0.0104719304152254
0.3	0.8	200	0.136514344906232	0.000587887774379123
0.3	0.8	250	0.156483919196604	0
0.3	0.8	300	0.177489131804024	0
0.3	0.8	350	0.19999760366312	0
0.3	0.8	400	0.224521192511925	0
0.3	0.8	450	0.249271010482605	0
0.3	0.8	500	0.273235766560846	0.00048547860393885
0.3	0.9	50	0.0706422598100722	0.028818959943695
0.3	0.9	100	0.0888403878710975	0.0146698501450525
0.3	0.9	150	0.112157786242038	0.00483778613012628
0.3	0.9	200	0.136514344906232	0
0.3	0.9	250	0.156483919196604	0
0.3	0.9	300	0.177489131804024	0
0.3	0.9	350	0.19999760366312	0
0.3	0.9	400	0.224521192511925	0
0.3	0.9	450	0.249271010482605	0
0.3	0.9	500	0.273235766560846	0.000270567212885929
0.3	1	50	0.0706422598100722	0.0146802394778099
0.3	1	100	0.0888403878710975	0.00739169019151322
0.3	1	150	0.112157786242038	0.00237433303506733
0.3	1	200	0.136514344906232	0
0.3	1	250	0.156483919196604	0
0.3	1	300	0.177489131804024	0
0.3	1	350	0.19999760366312	0
0.3	1	400	0.224521192511925	0
0.3	1	450	0.249271010482605	0
0.3	1	500	0.273235766560846	0.000140116558158878
