n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	320	0	0	1	0.0563380281690141	0.0865191146881288	0.537223340040241	0	0.181086519114688	0.641851106639839	0.17102615694165	0.235412474849095	0.995975855130785	0
40	320	0	0	1	0.060665362035225	0.11545988258317	0.477495107632094	0	0.219178082191781	0.759295499021526	0.270058708414873	0.307240704500978	0.99412915851272	0
80	320	0	0	1	0.0514285714285714	0.184761904761905	0.48952380952381	0.00571428571428571	0.266666666666667	0.841904761904762	0.403809523809524	0.419047619047619	0.994285714285714	0
160	320	0	0	1	0.0504854368932039	0.236893203883495	0.506796116504854	0.110679611650485	0.312621359223301	0.871844660194175	0.530097087378641	0.537864077669903	0.994174757281553	0
320	320	0	0	1	0.0479846449136276	0.370441458733205	0.516314779270633	0.36468330134357	0.36468330134357	0.927063339731286	0.648752399232246	0.652591170825336	0.998080614203455	0.0115163147792706
20	20	0.2	0	1	0.0636550308008214	0.31006160164271	0.481519507186858	0.288501026694045	0.309034907597536	0.899383983572895	0.58829568788501	0.621149897330595	0.994866529774127	0.013347022587269
40	20	0.2	0	1	0.0486634681288554	0.519533927347498	0.50514050719671	0.585332419465387	0.369431117203564	0.934201507882111	0.735435229609322	0.748457847840987	0.999314599040439	0.0486634681288554
80	20	0.2	0	1	0.0522203947368421	0.686266447368421	0.495065789473684	0.749177631578947	0.368009868421053	0.941200657894737	0.817023026315789	0.815789473684211	0.997532894736842	0.104029605263158
160	20	0.2	0	1	0.0482012696919821	0.826005172819187	0.500352692217258	0.833294145309194	0.348930166940983	0.946625911121561	0.858923113096638	0.853515165765342	0.998589231130966	0.174935339760169
320	20	0.2	0	1	0.0493242301797408	0.935906367563049	0.493938971715201	0.876271422599972	0.284101992475965	0.948028424132646	0.887000139333984	0.88240211787655	0.999303330082207	0.226557057266267
20	40	0.2	0	1	0.0462012320328542	0.209445585215606	0.496919917864476	0.0759753593429158	0.268993839835729	0.86652977412731	0.447638603696099	0.496919917864476	0.992813141683778	0
40	40	0.2	0	1	0.0472926662097327	0.354352296093215	0.479095270733379	0.283070596298835	0.2960932145305	0.903358464701851	0.588074023303633	0.610006854009596	0.998629198080877	0.00959561343385881
80	40	0.2	0	1	0.0501644736842105	0.538240131578947	0.505756578947368	0.558388157894737	0.350740131578947	0.928042763157895	0.712171052631579	0.719161184210526	0.997944078947368	0.0361842105263158
160	40	0.2	0	1	0.0467905008229485	0.738067246649424	0.504114742534681	0.72113802022102	0.358805549024218	0.930637197272513	0.783917234893017	0.785798260051728	0.998354102986127	0.0945215142252528
320	40	0.2	0	1	0.0518322418837955	0.892712832659886	0.50884770795597	0.805907760902884	0.323254841855929	0.937021039431517	0.83795457712136	0.836421903302215	0.998885328131531	0.14922669639125
20	80	0.2	0	1	0.0451745379876797	0.141683778234086	0.501026694045175	0.00205338809034908	0.226899383983573	0.784394250513347	0.320328542094456	0.36652977412731	0.992813141683778	0
40	80	0.2	0	1	0.0486634681288554	0.257025359835504	0.494174091843729	0.0884167237834133	0.277587388622344	0.84167237834133	0.453050034270048	0.468814256339959	0.991775188485264	0.00205620287868403
80	80	0.2	0	1	0.0587993421052632	0.394325657894737	0.498355263157895	0.306332236842105	0.312088815789474	0.888569078947368	0.573601973684211	0.587171052631579	0.993009868421053	0.0131578947368421
160	80	0.2	0	1	0.0519633200094051	0.594639078297672	0.4867152598166	0.513754996473078	0.305431460145779	0.907594639078298	0.66141547143193	0.666118034328709	0.995062308958382	0.0385610157535857
320	80	0.2	0	1	0.0514142399331197	0.828758534206493	0.4979796572384	0.670475128883935	0.304444754075519	0.909572244670475	0.741256792531699	0.741814128465933	0.996516650411035	0.0856903998885328
20	160	0.2	0	1	0.0472279260780287	0.117043121149897	0.497946611909651	0	0.168377823408624	0.68788501026694	0.201232032854209	0.24435318275154	0.990759753593429	0
40	160	0.2	0	1	0.0514050719671008	0.164496230294722	0.480466072652502	0.00685400959561343	0.212474297464016	0.761480466072653	0.324194653872515	0.353666895133653	0.991775188485264	0
80	160	0.2	0	1	0.0481085526315789	0.271792763157895	0.509457236842105	0.0814144736842105	0.250411184210526	0.831825657894737	0.439144736842105	0.449424342105263	0.991776315789474	0.000822368421052632
