n1	n2	pval	dsig	dclose
5	210	0.03	0.191828331037026	1.10691102272038
5	210	0.04	0.191828331037026	1.00307458553688
5	210	0.05	0.191828331037026	0.92233705835597
5	215	0.01	0.18957178635272	1.50935741445211
5	215	0.02	0.18957178635272	1.25557762670239
5	215	0.03	0.18957178635272	1.10889174127678
5	215	0.04	0.18957178635272	1.00502380428287
5	215	0.05	0.18957178635272	0.924268291605282
5	220	0.01	0.187393048338406	1.51134632067988
5	220	0.02	0.187393048338406	1.25750538271112
5	220	0.03	0.187393048338406	1.11079749087009
5	220	0.04	0.187393048338406	1.00690239656835
5	220	0.05	0.187393048338406	0.9261340880148
5	225	0.01	0.185287745930922	1.51326974353135
5	225	0.02	0.185287745930922	1.25936951425195
5	225	0.03	0.185287745930922	1.11263160526444
5	225	0.04	0.185287745930922	1.00871880042794
5	225	0.05	0.185287745930922	0.927938073783933
5	230	0.01	0.183251844309186	1.51513121297002
5	230	0.02	0.183251844309186	1.2611734570327
5	230	0.03	0.183251844309186	1.11440602369598
5	230	0.04	0.183251844309186	1.01047638698924
5	230	0.05	0.183251844309186	0.929683599384428
5	235	0.01	0.181281612352747	1.51693399721988
5	235	0.02	0.181281612352747	1.26292039154077
5	235	0.03	0.181281612352747	1.11612511290321
5	235	0.04	0.181281612352747	1.01217827618211
5	235	0.05	0.181281612352747	0.931373765952385
5	240	0.01	0.179373593868652	1.5186849786774
5	240	0.02	0.179373593868652	1.26462253317825
5	240	0.03	0.179373593868652	1.11779693360726
5	240	0.04	0.179373593868652	1.01382736022434
5	240	0.05	0.179373593868652	0.933011448655277
5	245	0.01	0.177524582081532	1.52039241838013
5	245	0.02	0.177524582081532	1.26627758190419
5	245	0.03	0.177524582081532	1.11941211172968
5	245	0.04	0.177524582081532	1.01542632450446
5	245	0.05	0.177524582081532	0.934599317433719
5	250	0.01	0.175731596958346	1.5220476233888
5	250	0.02	0.175731596958346	1.26782045196718
5	250	0.03	0.175731596958346	1.12097922977468
5	250	0.04	0.175731596958346	1.01697766619472
5	250	0.05	0.175731596958346	0.936139855460979
5	255	0.01	0.17399186500289	1.52359232678661
5	255	0.02	0.17399186500289	1.26936430220546
5	255	0.03	0.17399186500289	1.12250064188303
5	255	0.04	0.17399186500289	1.01848371088381
5	255	0.05	0.17399186500289	0.937635375613485
5	260	0.01	0.172302801208318	1.52514531666997
5	260	0.02	0.172302801208318	1.27086929300135
5	260	0.03	0.172302801208318	1.12397854192424
5	260	0.04	0.172302801208318	1.01994662747173
5	260	0.05	0.172302801208318	0.939088035197683
5	265	0.01	0.170661992900473	1.5266549433659
5	265	0.02	0.170661992900473	1.27233219478516
5	265	0.03	0.170661992900473	1.12541497709762
5	265	0.04	0.170661992900473	1.02136844153317
5	265	0.05	0.170661992900473	0.940499849148097
5	270	0.01	0.169067185242269	1.52812315915362
5	270	0.02	0.169067185242269	1.273754890363
5	270	0.03	0.169067185242269	1.1268118602672
5	270	0.04	0.169067185242269	1.02275104733361
5	270	0.05	0.169067185242269	0.941872701885551
5	275	0.01	0.167516268201019	1.52955179408563
5	275	0.02	0.167516268201019	1.27513914534998
5	275	0.03	0.167516268201019	1.12817098115584
5	275	0.04	0.167516268201019	1.02409621864826
5	275	0.05	0.167516268201019	0.943208357986139
5	280	0.01	0.166007264807342	1.53094256687604
5	280	0.02	0.166007264807342	1.27648661905535
5	280	0.03	0.166007264807342	1.12949401650364
5	280	0.04	0.166007264807342	1.0254082933742
5	280	0.05	0.166007264807342	0.944508471806394
5	285	0.01	0.164538320557062	1.53229709461924
5	285	0.02	0.164538320557062	1.27779887412748
5	285	0.03	0.164538320557062	1.13078253927921
