n1	n2	d.sig	d.close
20	47	0.40969801038262	0.148695646315296
20	48	0.40529318722342	0.1523129074938
20	49	0.401010110737232	0.155769985748807
20	50	0.396900797663208	0.159175643138821
20	51	0.392885586199185	0.16247473194012
20	52	0.389007840895413	0.165671547461923
20	53	0.385195298733423	0.168775598379807
20	54	0.381551790080076	0.171793015556226
20	55	0.377987210593029	0.174727750488499
20	56	0.37452108172952	0.177583507567684
20	57	0.371148938215501	0.180363763749482
20	58	0.367866557415168	0.183071786276428
20	59	0.364669947152147	0.18571064867463
20	60	0.361555336652145	0.188292980145558
20	61	0.35851916952789	0.190811449932484
20	62	0.355558097769144	0.193267804164674
20	63	0.352656378472819	0.195603452858596
20	64	0.349835733031662	0.197973600667752
20	65	0.347081713047479	0.200250171559354
20	66	0.344416939579564	0.202475311281019
20	67	0.34178176665117	0.20465088216405
20	68	0.339207347921832	0.206778650292998
20	69	0.336685655702289	0.208860293757681
20	70	0.334227550936089	0.210897409987844
20	71	0.331822793037517	0.212891522209144
20	72	0.329469526257298	0.214844085067408
20	73	0.327183052908408	0.216756489477037
20	74	0.324879217088384	0.218630066758491
20	75	0.32267915455364	0.220466092138739
20	76	0.320520917810536	0.222278939407159
20	77	0.318403601274166	0.224003302762019
20	78	0.316326294709335	0.225747596315182
20	79	0.314288075815229	0.227453239293341
20	80	0.312288006584876	0.229122724265174
20	81	0.310325133096194	0.230744098450075
20	82	0.30839848827065	0.232359917481019
20	83	0.306507097027845	0.233946440802751
20	84	0.304649099277719	0.235486519118044
20	85	0.302854097332043	0.237007218521121
20	86	0.30104458201335	0.238502387664419
20	87	0.299276647687751	0.2399735413725
20	88	0.297555373225575	0.24142237238791
20	89	0.295868352252563	0.242850749808573
20	90	0.294174001876599	0.244199677295741
20	91	0.292529453861124	0.245592693940578
20	92	0.290908996864939	0.246940855345549
20	93	0.289309155182045	0.248266712562554
20	94	0.287786763214646	0.249570630603253
20	95	0.286225255070333	0.250852892199024
20	96	0.284712834790018	0.252113691769877
20	97	0.283214311095706	0.253382812224641
20	98	0.28174228224533	0.254614675208829
20	99	0.280289588402875	0.255829944166568
20	100	0.278915241736142	0.256968599394956
20	101	0.277494785124905	0.258153804932018
20	102	0.276105598066934	0.259320301308992
20	103	0.274747092627465	0.260457458772903
20	104	0.273409359893301	0.261578566330959
20	105	0.272077631048425	0.262683613133948
20	106	0.270775741229847	0.263772979544498
20	107	0.269492385060954	0.264847033490408
20	108	0.268245945025263	0.265906130978637
20	109	0.266999990281089	0.266950616583417
